#===============================================================================
## The subset S3 of PDBbind core set v.2016, latest update: Nov 2016
## A total of 85 complexes in 17 clusters
## PDB code, resolution, release year, -logKd/Ki, original Kd/Ki, cluster ID, deltaSAS, deltaVOL, Hydrophobic scale, group ID of deltaSAS, group ID of deltaVOL, group ID of H-Scale
##===============================================================================
#code   reso     year    logKa    Ka        target  dSAS     VOL      HScale    GSAS  GVOL  GHScale
4m0z    2.00     2014    5.19     Kd=6.4uM     3    0.91     466.6    -0.02     S3    V3    H3
4m0y    1.70     2014    6.46     Kd=0.35uM    3    0.70     251.1    -0.19     S3    V3    H3
3qgy    2.10     2011    7.80     Ki=16nM      3    0.66     275.0    -0.34     S3    V3    H3
4qd6    2.45     2015    8.64     Ki=2.3nM     3    0.45     171.2    -0.37     S3    V3    H3
4rfm    2.10     2015   10.05     Ki=90pM      3    0.63     373.8    -0.13     S3    V3    H3
3wtj    2.24     2015    6.53     Kd=0.297uM   8    0.95     374.8     0.13     S3    V3    H3
3zdg    2.48     2013    7.10     Ki=79nM      8    0.94     338.9     0.43     S3    V3    H3
3u8k    2.47     2011    8.66     Ki=2.2nM     8    0.88     339.2     0.39     S3    V3    H3
4qac    2.10     2014    9.40     Kd=0.4nM     8    0.87     481.8     0.44     S3    V3    H3
3u8n    2.35     2011   10.17     Ki=0.067nM   8    0.94     367.8     0.33     S3    V3    H3
1a30    2.00     1998    4.30     Ki=50uM      9    0.75     368.5    -0.31     S3    V3    H2
2qnq    2.30     2008    6.11     Ki=0.77uM    9    0.84     596.0    -0.27     S3    V3    H2
1g2k    1.95     2001    7.96     Ki=11nM      9    0.80     627.5    -0.38     S3    V3    H2
1eby    2.29     2002    9.70     Ki=0.20nM    9    0.87     717.0    -0.34     S3    V3    H2
3o9i    1.45     2011   11.82     Ki=1.5pM     9    0.85     636.4    -0.29     S3    V3    H2
3l7b    2.00     2010    2.40     Ki=4.01mM   12    0.85     381.4    -0.48     S3    V3    H1
4eky    2.45     2012    3.52     Ki=303.0uM  12    0.86     489.1    -0.54     S3    V3    H1
3g2n    2.10     2010    4.09     Ki=81uM     12    0.86     425.2    -0.39     S3    V3    H1
3syr    2.40     2012    5.10     Ki=7.9uM    12    0.86     373.0    -0.48     S3    V3    H1
3ebp    2.00     2009    5.91     Ki=1.24uM   12    0.55     259.4    -0.44     S3    V3    H1
2w66    2.27     2009    4.05     Ki=89uM     13    0.92     298.5    -0.26     S3    V1    H2
2w4x    2.42     2009    4.85     Kd=14uM     13    0.81     283.1     0.03     S3    V1    H2
2wca    2.30     2009    5.60     Ki=2.5uM    13    0.63     284.8     0.18     S3    V1    H2
2xj7    2.00     2010    6.66     Ki=220nM    13    0.93     322.8    -0.26     S3    V1    H2
2vvn    1.85     2008    7.30     Kd=50nM     13    0.94     338.5    -0.25     S3    V1    H2
3f3a    2.00     2008    4.19     Ki=64.8uM   17    0.91     299.2     0.06     S3    V2    H3
3f3c    2.10     2008    6.02     Ki=950nM    17    0.96     263.6     0.00     S3    V2    H3
4mme    2.50     2013    6.50     Kd=318nM    17    0.87     385.1     0.00     S3    V2    H3
3f3d    2.30     2008    7.16     Kd=69nM     17    0.98     229.8     0.07     S3    V2    H3
3f3e    1.80     2008    7.70     Kd=20nM     17    0.98     219.4     0.11     S3    V2    H3
3udh    1.70     2012    2.85     Kd=1.4mM    19    0.76     221.5    -0.13     S3    V3    H2
