#===============================================================================
## The subset V1 of PDBbind core set v.2016, latest update: Nov 2016
## A total of 95 complexes in 19 clusters
## PDB code, resolution, release year, -logKd/Ki, original Kd/Ki, cluster ID, deltaSAS, deltaVOL, Hydrophobic scale, group ID of deltaSAS, group ID of deltaVOL, group ID of H-Scale
##===============================================================================
#code   reso     year    logKa    Ka        target  dSAS     VOL      HScale    GSAS  GVOL  GHScale
5aba    1.62     2015    2.98     Kd=1040uM    5    0.53     192.9    -0.19     S1    V1    H3
5a7b    1.40     2015    3.57     Kd=271uM     5    0.53     248.9    -0.14     S1    V1    H3
4agn    1.60     2012    3.97     Kd=107uM     5    0.57     239.2    -0.21     S1    V1    H3
4agp    1.50     2012    4.69     Kd=20.6uM    5    0.53     238.1    -0.21     S1    V1    H3
4agq    1.42     2012    5.01     Kd=9.7uM     5    0.53     247.6    -0.21     S1    V1    H3
4lzs    2.20     2014    4.80     Kd=16uM     10    0.68     235.4     0.44     S1    V1    H3
3u5j    1.60     2011    5.61     Kd=2.46uM   10    0.65     252.2     0.37     S1    V1    H3
4wiv    1.56     2014    6.26     Kd=550nM    10    0.56     228.6     0.37     S1    V1    H3
4ogj    1.65     2014    6.79     Kd=164nM    10    0.47     197.6     0.43     S1    V1    H3
3p5o    1.60     2010    7.30     Kd=50.5nM   10    0.56     230.1     0.27     S1    V1    H3
1ps3    1.80     2003    2.28     Ki=5.2mM    11    0.80     200.6    -0.51     S1    V1    H1
3dx1    1.21     2009    3.58     Ki=265uM    11    0.89     152.1    -0.61     S1    V1    H1
3d4z    1.39     2008    4.89     Ki=13uM     11    0.84     191.2    -0.54     S1    V1    H1
3dx2    1.40     2009    6.82     Ki=150nM    11    0.89     201.8    -0.54     S1    V1    H1
3ejr    1.27     2009    8.57     Ki=2.7nM    11    0.65     250.5    -0.55     S1    V1    H1
2w66    2.27     2009    4.05     Ki=89uM     13    0.92     298.5    -0.26     S3    V1    H2
2w4x    2.42     2009    4.85     Kd=14uM     13    0.81     283.1     0.03     S3    V1    H2
2wca    2.30     2009    5.60     Ki=2.5uM    13    0.63     284.8     0.18     S3    V1    H2
