#===============================================================================
## The subset S2 of PDBbind core set v.2016, latest update: Nov 2016
## A total of 105 complexes in 21 clusters
## PDB code, resolution, release year, -logKd/Ki, original Kd/Ki, cluster ID, deltaSAS, deltaVOL, Hydrophobic scale, group ID of deltaSAS, group ID of deltaVOL, group ID of H-Scale
##===============================================================================
#code   reso     year    logKa    Ka        target  dSAS     VOL      HScale    GSAS  GVOL  GHScale
4llx    1.75     2014    2.89     Ki=1300uM    1    0.70     180.5     0.52     S2    V3    H2
5c28    1.56     2015    5.66     Ki=2.2uM     1    0.78     245.1     0.43     S2    V3    H2
3uuo    2.11     2012    7.96     Ki=11nM      1    0.61     250.1     0.41     S2    V3    H2
3ui7    2.28     2011    9.00     Ki=1nM       1    0.70     307.8     0.34     S2    V3    H2
5c2h    2.09     2015   11.09     Ki=8.2pM     1    0.74     466.2    -0.15     S2    V3    H2
3bgz    2.40     2007    6.26     Ki=0.55uM    6    0.70     352.5    -0.35     S2    V2    H1
3jya    2.10     2009    6.89     Ki=0.1301uM  6    0.81     336.9    -0.20     S2    V2    H1
2c3i    1.90     2005    7.60     Kd=25nM      6    0.79     366.1    -0.35     S2    V2    H1
4k18    2.05     2013    8.96     Ki=1.1nM     6    0.82     417.2    -0.44     S2    V2    H1
5dwr    2.00     2015   11.22     Ki=6pM       6    0.81     427.1    -0.45     S2    V2    H1
3mss    1.95     2010    4.66     Kd=22uM      7    0.52     214.5     0.33     S2    V2    H1
3k5v    1.74     2010    6.30     Kd=0.5uM     7    0.69     346.6     0.28     S2    V2    H1
3pyy    1.85     2011    6.86     Kd=137nM     7    0.71     287.1     0.09     S2    V2    H1
2v7a    2.50     2007    8.30     Kd=0.005uM   7    0.64     402.5    -0.27     S2    V2    H1
4twp    2.40     2015   10.00     Ki=100pM     7    0.78     441.1    -0.38     S2    V2    H1
1gpk    2.10     2002    5.37     Ki=4.3uM    16    0.87     395.9     0.15     S2    V3    H3
1gpn    2.35     2002    6.48     Ki=0.334uM  16    0.88     391.6     0.15     S2    V3    H3
1h23    2.15     2002    8.35     Ki=4.5nM    16    0.77     600.4     0.30     S2    V3    H3
1h22    2.15     2002    9.10     Ki=0.8nM    16    0.76     573.0     0.17     S2    V3    H3
1e66    2.10     2001    9.89     Ki=0.13nM   16    0.89     445.2     0.15     S2    V3    H3
2wbg    1.85     2009    4.45     Ki=35.2uM   18    0.69     290.6    -0.11     S2    V1    H2
2cbv    1.95     2006    5.48     Kd=3.3uM    18    0.90     215.9    -0.19     S2    V1    H2
2j78    1.65     2006    6.42     Kd=384nM    18    0.88     243.1    -0.19     S2    V1    H2
2j7h    1.95     2006    7.19     Kd=65nM     18    0.91     208.0    -0.19     S2    V1    H2
2cet    1.97     2006    8.02     Kd=9.6nM    18    0.76     338.2    -0.22     S2    V1    H2
3rr4    1.68     2012    4.55     Ki=28.05uM  21    0.79     273.6    -0.20     S2    V2    H2
1s38    1.81     2004    5.15     Ki=7.0uM    21    0.88     250.4    -0.30     S2    V2    H2
1r5y    1.20     2004    6.46     Ki=0.35uM   21    0.90     232.6    -0.24     S2    V2    H2
3gc5    1.40     2009    7.26     Ki=55nM     21    0.84     315.8    -0.29     S2    V2    H2
3ge7    1.50     2009    8.70     Ki=2nM      21    0.82     415.9    -0.26     S2    V2    H2
4dli    1.91     2013    5.62     Kd=2.40uM   22    0.84     394.0    -0.39     S2    V3    H3
2zb1    2.50     2008    6.32     Kd=0.48uM   22    0.84     499.9    -0.13     S2    V3    H3
4f9w    2.00     2013    6.94     Ki=114nM    22    0.75     364.9    -0.15     S2    V3    H3
3e92    2.00     2008    8.00     Ki=10nM     22    0.91     536.0     0.00     S2    V3    H3
3e93    2.00     2008    8.85     Ki=1.4nM    22    0.77     583.2     0.08     S2    V3    H3
4owm    1.99     2014    2.96     Ki=1090uM   23    0.67     139.6    -0.49     S2    V1    H1
3twp    1.83     2012    3.92     Ki=119uM    23    0.69     133.0    -0.49     S2    V1    H1
3r88    1.73     2012    4.82     Ki=15uM     23    0.65     185.9    -0.39     S2    V1    H1
4gkm    1.67     2013    5.17     Ki=6.8uM    23    0.73     263.0    -0.37     S2    V1    H1
3qqs    1.97     2012    5.82     Ki=1.5uM    23    0.78     298.0    -0.37     S2    V1    H1
2hb1    2.00     2006    3.80     Ki=160uM    25    0.84     235.5    -0.52     S2    V1    H1
1bzc    2.35     1999    4.92     Ki=12uM     25    0.67     226.4    -0.62     S2    V1    H1
2qbr    2.30     2008    6.33     Ki=0.47uM   25    0.73     292.4    -0.59     S2    V1    H1
2qbq    2.10     2008    7.44     Ki=0.036uM  25    0.68     281.0    -0.59     S2    V1    H1
2qbp    2.50     2008    8.40     Ki=0.004uM  25    0.73     369.1    -0.68     S2    V1    H1
1q8t    2.00     2003    4.76     Kd=17.5uM   26    0.77     362.6    -0.39     S2    V3    H2
1ydr    2.20     1997    5.52     Ki=3.0uM    26    0.82     366.6    -0.24     S2    V3    H2
1q8u    1.90     2003    5.96     Kd=1.1uM    26    0.80     386.6    -0.27     S2    V3    H2
1ydt    2.30     1997    7.32     Ki=48nM     26    0.82     501.9    -0.31     S2    V3    H2
3ag9    2.00     2010    8.05     Ki=9nM      26    0.47     435.8    -0.46     S2    V3    H2
3pxf    1.80     2011    4.43     Kd=37uM     29    0.56     167.2     0.20     S2    V2    H1
4eor    2.20     2013    6.30     Ki=500nM    29    0.72     400.5    -0.51     S2    V2    H1
2xnb    1.85     2010    6.83     Ki=149nM    29    0.70     389.4    -0.38     S2    V2    H1
1pxn    2.50     2004    7.15     Ki=0.07uM   29    0.82     415.0    -0.53     S2    V2    H1
2fvd    1.85     2006    8.52     Ki=3nM      29    0.75     407.8    -0.53     S2    V2    H1
4k77    2.40     2013    6.63     Ki=235nM    30    0.80     341.2    -0.33     S2    V2    H1
4e5w    1.86     2012    7.66     Ki=22nM     30    0.82     432.6    -0.51     S2    V2    H1
4ivb    1.90     2013    8.72     Ki=1.9nM    30    0.82     358.9    -0.43     S2    V2    H1
4ivd    1.93     2013    9.52     Ki=0.3nM    30    0.82     383.2    -0.59     S2    V2    H1
4ivc    2.35     2013   10.00     Ki=0.1nM    30    0.85     387.4    -0.51     S2    V2    H1
2brb    2.10     2005    4.86     Ki=13.7uM   32    0.71     310.5    -0.37     S2    V2    H1
2br1    2.00     2005    5.14     Ki=7.2uM    32    0.62     305.6    -0.36     S2    V2    H1
3jvr    1.76     2009    5.72     Ki=1.89uM   32    0.61     178.8    -0.42     S2    V2    H1
3jvs    1.90     2009    6.54     Kd=0.29uM   32    0.56     186.4    -0.56     S2    V2    H1
1nvq    2.00     2003    8.25     Ki=5.6nM    32    0.79     423.4    -0.54     S2    V2    H1
3acw    1.63     2010    4.76     Ki=17.5uM   33    0.84     441.1     0.23     S2    V3    H2
4ea2    2.05     2012    6.44     Ki=0.36uM   33    0.83     486.1     0.05     S2    V3    H2
2zcr    1.92     2008    6.87     Ki=135nM    33    0.77     528.8    -0.24     S2    V3    H2
2zy1    1.78     2009    7.40     Ki=0.04uM   33    0.74     455.1    -0.03     S2    V3    H2
2zcq    2.38     2008    8.82     Ki=1.5nM    33    0.78     452.6    -0.33     S2    V3    H2
3u9q    1.52     2011    4.38     Ki=41.7uM   35    0.90     321.1     0.42     S2    V3    H3
2yfe    2.00     2012    6.63     Ki=0.236uM  35    0.75     432.0     0.11     S2    V3    H3
3fur    2.30     2009    8.00     Ki=10nM     35    0.80     523.6     0.15     S2    V3    H3
3b1m    1.60     2011    8.48     Ki=3.3nM    35    0.70     509.6     0.29     S2    V3    H3
