,Datatype,Modeltype,Featuretype,Scoretype,Spearman correlation coefficient (SP),Kendall correlation coefficient (tau),Predictive index (PI)
0,all,linearRegression,final,delta_G," -0.612
"," -0.537
"," -0.635
"
1,all,linearRegression,final,Affinity_Data_Value," -0.626
"," -0.551
"," -0.650
"
2,all,linearRegression,final,pKd_pKi_pIC50," 0.614
"," 0.540
"," 0.635
"
3,all,Ridge,final,delta_G," -0.614
"," -0.537
"," -0.637
"
4,all,Ridge,final,Affinity_Data_Value," -0.621
"," -0.551
"," -0.643
"
5,all,Ridge,final,pKd_pKi_pIC50," 0.609
"," 0.533
"," 0.632
"
6,all,Lasso,final,delta_G," -0.611
"," -0.544
"," -0.635
"
7,all,Lasso,final,Affinity_Data_Value," -0.618
"," -0.551
"," -0.639
"
8,all,Lasso,final,pKd_pKi_pIC50," 0.619
"," 0.547
"," 0.643
"
9,all,ElasticNet,final,delta_G," -0.609
"," -0.540
"," -0.633
"
10,all,ElasticNet,final,Affinity_Data_Value," -0.633
"," -0.561
"," -0.667
"
11,all,ElasticNet,final,pKd_pKi_pIC50," 0.614
"," 0.544
"," 0.640
"
12,all,SVR,final,delta_G," 0.553
"," 0.497
"," 0.522
"
13,all,SVR,final,Affinity_Data_Value," -0.635
"," -0.561
"," -0.658
"
14,all,SVR,final,pKd_pKi_pIC50," -0.362
"," -0.342
"," -0.338
"
15,all,DecisionTree,final,delta_G," 0.200
"," 0.183
"," 0.193
"
16,all,DecisionTree,final,Affinity_Data_Value," -0.096
"," -0.081
"," -0.086
"
17,all,DecisionTree,final,pKd_pKi_pIC50," -0.006
"," 0.001
"," -0.011
"
18,all,RandomForest,final,delta_G," -0.139
"," -0.123
"," -0.156
"
19,all,RandomForest,final,Affinity_Data_Value," 0.039
"," 0.053
"," 0.043
"
20,all,RandomForest,final,pKd_pKi_pIC50," 0.025
"," 0.035
"," 0.010
"
21,ki,linearRegression,final,delta_G," -0.621
"," -0.547
"," -0.645
"
22,ki,linearRegression,final,Affinity_Data_Value," -0.630
"," -0.561
"," -0.651
"
23,ki,linearRegression,final,pKd_pKi_pIC50," 0.616
"," 0.544
"," 0.637
"
24,ki,Ridge,final,delta_G," -0.625
"," -0.554
"," -0.648
"
25,ki,Ridge,final,Affinity_Data_Value," -0.589
"," -0.526
"," -0.605
"
26,ki,Ridge,final,pKd_pKi_pIC50," 0.621
"," 0.547
"," 0.642
"
27,ki,Lasso,final,delta_G," -0.621
"," -0.551
"," -0.644
"
28,ki,Lasso,final,Affinity_Data_Value," -0.614
"," -0.547
"," -0.636
"
29,ki,Lasso,final,pKd_pKi_pIC50," 0.612
"," 0.547
"," 0.635
"
30,ki,ElasticNet,final,delta_G," -0.626
"," -0.551
"," -0.651
"
31,ki,ElasticNet,final,Affinity_Data_Value," -0.630
"," -0.551
"," -0.665
"
32,ki,ElasticNet,final,pKd_pKi_pIC50," 0.630
"," 0.558
"," 0.653
"
33,ki,SVR,final,delta_G," 0.440
"," 0.367
"," 0.399
"
34,ki,SVR,final,Affinity_Data_Value," -0.626
"," -0.551
"," -0.650
"
35,ki,SVR,final,pKd_pKi_pIC50," 0.084
"," 0.093
"," 0.064
"
36,ki,DecisionTree,final,delta_G," 0.091
"," 0.088
"," 0.072
"
37,ki,DecisionTree,final,Affinity_Data_Value," 0.012
"," 0.009
"," 0.012
"
38,ki,DecisionTree,final,pKd_pKi_pIC50," -0.018
"," -0.013
"," -0.013
"
39,ki,RandomForest,final,delta_G," 0.049
"," 0.049
"," 0.059
"
40,ki,RandomForest,final,Affinity_Data_Value," 0.181
"," 0.151
"," 0.194
"
41,ki,RandomForest,final,pKd_pKi_pIC50," -0.153
"," -0.126
"," -0.178
"
42,kd,linearRegression,final,delta_G," -0.612
"," -0.530
"," -0.640
"
43,kd,linearRegression,final,Affinity_Data_Value," -0.646
"," -0.568
"," -0.668
"
44,kd,linearRegression,final,pKd_pKi_pIC50," 0.614
"," 0.537
"," 0.643
"
45,kd,Ridge,final,delta_G," -0.607
"," -0.533
"," -0.635
"
46,kd,Ridge,final,Affinity_Data_Value," -0.644
"," -0.568
"," -0.668
"
47,kd,Ridge,final,pKd_pKi_pIC50," 0.612
"," 0.540
"," 0.639
"
48,kd,Lasso,final,delta_G," -0.625
"," -0.547
"," -0.646
"
49,kd,Lasso,final,Affinity_Data_Value," -0.623
"," -0.554
"," -0.644
"
50,kd,Lasso,final,pKd_pKi_pIC50," 0.616
"," 0.544
"," 0.641
"
51,kd,ElasticNet,final,delta_G," -0.626
"," -0.554
"," -0.651
"
52,kd,ElasticNet,final,Affinity_Data_Value," -0.630
"," -0.561
"," -0.662
"
53,kd,ElasticNet,final,pKd_pKi_pIC50," 0.621
"," 0.547
"," 0.646
"
54,kd,SVR,final,delta_G," 0.562
"," 0.506
"," 0.531
"
55,kd,SVR,final,Affinity_Data_Value," -0.633
"," -0.561
"," -0.663
"
56,kd,SVR,final,pKd_pKi_pIC50," -0.558
"," -0.498
"," -0.526
"
57,kd,DecisionTree,final,delta_G," -0.091
"," -0.080
"," -0.079
"
58,kd,DecisionTree,final,Affinity_Data_Value," 0.135
"," 0.114
"," 0.106
"
59,kd,DecisionTree,final,pKd_pKi_pIC50," -0.057
"," -0.049
"," -0.041
"
60,kd,RandomForest,final,delta_G," -0.014
"," -0.021
"," -0.015
"
61,kd,RandomForest,final,Affinity_Data_Value," -0.046
"," -0.011
"," -0.033
"
62,kd,RandomForest,final,pKd_pKi_pIC50," 0.228
"," 0.186
"," 0.244
"
