,Datatype,Modeltype,Featuretype,Scoretype,Spearman correlation coefficient (SP),Scipy Spearman correlation coefficent (SP),Confidence interval of 90% Spearman SP,Kendall correlation coefficient (tau),Predictive index (PI)
0,all,linearRegression,final,delta_G,-0.612,-0.6551409036565365," [-0.709 ~ -0.594] 
"," -0.537
"," -0.635
"
1,all,linearRegression,final,Affinity_Data_Value,-0.626,-0.6500596216768133," [-0.705 ~ -0.588] 
"," -0.551
"," -0.650
"
2,all,linearRegression,final,pKd_pKi_pIC50,0.614,0.6547508134004928," [0.593 ~ 0.709] 
"," 0.540
"," 0.635
"
3,all,linearRegression,GAP,delta_G,-0.635,-0.6632234182440548," [-0.716 ~ -0.603] 
"," -0.554
"," -0.658
"
4,all,linearRegression,GAP,Affinity_Data_Value,-0.549,-0.622825101096551," [-0.681 ~ -0.557] 
"," -0.470
"," -0.582
"
5,all,linearRegression,GAP,pKd_pKi_pIC50,0.64,0.6620744015629636," [0.602 ~ 0.715] 
"," 0.558
"," 0.665
"
6,all,Ridge,final,delta_G,-0.614,-0.6489930293820488," [-0.704 ~ -0.587] 
"," -0.537
"," -0.637
"
7,all,Ridge,final,Affinity_Data_Value,-0.621,-0.6536308266919442," [-0.708 ~ -0.592] 
"," -0.551
"," -0.643
"
8,all,Ridge,final,pKd_pKi_pIC50,0.609,0.648135090014936," [0.586 ~ 0.703] 
"," 0.533
"," 0.632
"
9,all,Ridge,GAP,delta_G,-0.623,-0.6547445926920906," [-0.709 ~ -0.593] 
"," -0.544
"," -0.648
"
10,all,Ridge,GAP,Affinity_Data_Value,-0.533,-0.6191787291882289," [-0.678 ~ -0.553] 
"," -0.456
"," -0.564
"
11,all,Ridge,GAP,pKd_pKi_pIC50,0.63,0.6528607548310098," [0.591 ~ 0.707] 
"," 0.547
"," 0.656
"
12,all,Lasso,final,delta_G,-0.611,-0.6512581448289373," [-0.706 ~ -0.589] 
"," -0.544
"," -0.635
"
13,all,Lasso,final,Affinity_Data_Value,-0.618,-0.6506985402689383," [-0.705 ~ -0.589] 
"," -0.551
"," -0.639
"
