#===============================================================================
## The subset H1 of PDBbind core set v.2016, latest update: Nov 2016
## A total of 95 complexes in 19 clusters
## PDB code, resolution, release year, -logKd/Ki, original Kd/Ki, cluster ID, deltaSAS, deltaVOL, Hydrophobic scale, group ID of deltaSAS, group ID of deltaVOL, group ID of H-Scale
##===============================================================================
#code   reso     year    logKa    Ka        target  dSAS     VOL      HScale    GSAS  GVOL  GHScale
3bgz    2.40     2007    6.26     Ki=0.55uM    6    0.70     352.5    -0.35     S2    V2    H1
3jya    2.10     2009    6.89     Ki=0.1301uM  6    0.81     336.9    -0.20     S2    V2    H1
2c3i    1.90     2005    7.60     Kd=25nM      6    0.79     366.1    -0.35     S2    V2    H1
4k18    2.05     2013    8.96     Ki=1.1nM     6    0.82     417.2    -0.44     S2    V2    H1
5dwr    2.00     2015   11.22     Ki=6pM       6    0.81     427.1    -0.45     S2    V2    H1
3mss    1.95     2010    4.66     Kd=22uM      7    0.52     214.5     0.33     S2    V2    H1
3k5v    1.74     2010    6.30     Kd=0.5uM     7    0.69     346.6     0.28     S2    V2    H1
3pyy    1.85     2011    6.86     Kd=137nM     7    0.71     287.1     0.09     S2    V2    H1
2v7a    2.50     2007    8.30     Kd=0.005uM   7    0.64     402.5    -0.27     S2    V2    H1
4twp    2.40     2015   10.00     Ki=100pM     7    0.78     441.1    -0.38     S2    V2    H1
1ps3    1.80     2003    2.28     Ki=5.2mM    11    0.80     200.6    -0.51     S1    V1    H1
3dx1    1.21     2009    3.58     Ki=265uM    11    0.89     152.1    -0.61     S1    V1    H1
3d4z    1.39     2008    4.89     Ki=13uM     11    0.84     191.2    -0.54     S1    V1    H1
3dx2    1.40     2009    6.82     Ki=150nM    11    0.89     201.8    -0.54     S1    V1    H1
3ejr    1.27     2009    8.57     Ki=2.7nM    11    0.65     250.5    -0.55     S1    V1    H1
3l7b    2.00     2010    2.40     Ki=4.01mM   12    0.85     381.4    -0.48     S3    V3    H1
4eky    2.45     2012    3.52     Ki=303.0uM  12    0.86     489.1    -0.54     S3    V3    H1
3g2n    2.10     2010    4.09     Ki=81uM     12    0.86     425.2    -0.39     S3    V3    H1
3syr    2.40     2012    5.10     Ki=7.9uM    12    0.86     373.0    -0.48     S3    V3    H1
3ebp    2.00     2009    5.91     Ki=1.24uM   12    0.55     259.4    -0.44     S3    V3    H1
4owm    1.99     2014    2.96     Ki=1090uM   23    0.67     139.6    -0.49     S2    V1    H1
3twp    1.83     2012    3.92     Ki=119uM    23    0.69     133.0    -0.49     S2    V1    H1
3r88    1.73     2012    4.82     Ki=15uM     23    0.65     185.9    -0.39     S2    V1    H1
4gkm    1.67     2013    5.17     Ki=6.8uM    23    0.73     263.0    -0.37     S2    V1    H1
3qqs    1.97     2012    5.82     Ki=1.5uM    23    0.78     298.0    -0.37     S2    V1    H1
2hb1    2.00     2006    3.80     Ki=160uM    25    0.84     235.5    -0.52     S2    V1    H1
1bzc    2.35     1999    4.92     Ki=12uM     25    0.67     226.4    -0.62     S2    V1    H1
2qbr    2.30     2008    6.33     Ki=0.47uM   25    0.73     292.4    -0.59     S2    V1    H1
2qbq    2.10     2008    7.44     Ki=0.036uM  25    0.68     281.0    -0.59     S2    V1    H1
2qbp    2.50     2008    8.40     Ki=0.004uM  25    0.73     369.1    -0.68     S2    V1    H1
3pxf    1.80     2011    4.43     Kd=37uM     29    0.56     167.2     0.20     S2    V2    H1
4eor    2.20     2013    6.30     Ki=500nM    29    0.72     400.5    -0.51     S2    V2    H1
2xnb    1.85     2010    6.83     Ki=149nM    29    0.70     389.4    -0.38     S2    V2    H1
1pxn    2.50     2004    7.15     Ki=0.07uM   29    0.82     415.0    -0.53     S2    V2    H1
2fvd    1.85     2006    8.52     Ki=3nM      29    0.75     407.8    -0.53     S2    V2    H1
4k77    2.40     2013    6.63     Ki=235nM    30    0.80     341.2    -0.33     S2    V2    H1
4e5w    1.86     2012    7.66     Ki=22nM     30    0.82     432.6    -0.51     S2    V2    H1
4ivb    1.90     2013    8.72     Ki=1.9nM    30    0.82     358.9    -0.43     S2    V2    H1
4ivd    1.93     2013    9.52     Ki=0.3nM    30    0.82     383.2    -0.59     S2    V2    H1
4ivc    2.35     2013   10.00     Ki=0.1nM    30    0.85     387.4    -0.51     S2    V2    H1
4f09    2.40     2012    6.70     Ki=200nM    31    0.80     302.2    -0.26     S3    V2    H1
4gfm    2.30     2013    7.22     Ki=0.06uM   31    0.83     344.4    -0.37     S3    V2    H1
4hge    2.30     2012    7.92     Ki=11.9nM   31    0.83     433.2    -0.42     S3    V2    H1
4e6q    1.95     2012    8.36     Ki=4.4nM    31    0.82     421.4    -0.51     S3    V2    H1
4jia    1.85     2013    9.22     Ki=0.6nM    31    0.53     282.0    -0.04     S3    V2    H1
2brb    2.10     2005    4.86     Ki=13.7uM   32    0.71     310.5    -0.37     S2    V2    H1
2br1    2.00     2005    5.14     Ki=7.2uM    32    0.62     305.6    -0.36     S2    V2    H1
3jvr    1.76     2009    5.72     Ki=1.89uM   32    0.61     178.8    -0.42     S2    V2    H1
3jvs    1.90     2009    6.54     Kd=0.29uM   32    0.56     186.4    -0.56     S2    V2    H1
