,PDB code,EC number,Class,Subclass,Subsubclass
178,1bzc,E.C.3.1.3.48,3,1,3
180,1bzh,E.C.3.1.3.48,3,1,3
181,1bzj,E.C.3.1.3.48,3,1,3
208,1c83,E.C.3.1.3.48,3,1,3
209,1c84,E.C.3.1.3.48,3,1,3
210,1c85,E.C.3.1.3.48,3,1,3
211,1c86,E.C.3.1.3.48,3,1,3
212,1c87,E.C.3.1.3.48,3,1,3
213,1c88,E.C.3.1.3.48,3,1,3
252,1d1p,E.C.3.1.3.48,3,1,3
266,1d5r,E.C.3.1.3.48,3,1,3
281,1dg9,E.C.3.1.3.48,3,1,3
339,1ecv,E.C.3.1.3.48,3,1,3
370,1ew8,E.C.3.1.3.1,3,1,3
371,1ew9,E.C.3.1.3.1,3,1,3
428,1fpi,E.C.3.1.3.11,3,1,3
440,1fta,E.C.3.1.3.11,3,1,3
479,1g7f,E.C.3.1.3.48,3,1,3
480,1g7g,E.C.3.1.3.48,3,1,3
498,1gfy,E.C.3.1.3.48,3,1,3
707,1it6,E.C.3.1.3.16,3,1,3
748,1jk7,E.C.3.1.3.16,3,1,3
801,1kak,E.C.3.1.3.48,3,1,3
802,1kav,E.C.3.1.3.48,3,1,3
837,1kz8,E.C.3.1.3.11,3,1,3
848,1l8g,E.C.3.1.3.48,3,1,3
857,1lev,E.C.3.1.3.11,3,1,3
886,1lqf,E.C.3.1.3.48,3,1,3
976,1nd5,E.C.3.1.3.2,3,1,3
1010,1nl9,E.C.3.1.3.48,3,1,3
1020,1nny,E.C.3.1.3.48,3,1,3
1021,1no6,E.C.3.1.3.48,3,1,3
1044,1nwl,E.C.3.1.3.48,3,1,3
1050,1nz7,E.C.3.1.3.48,3,1,3
1181,1ony,E.C.3.1.3.48,3,1,3
1182,1onz,E.C.3.1.3.48,3,1,3
1226,1pa9,E.C.3.1.3.48,3,1,3
1236,1ph0,E.C.3.1.3.48,3,1,3
1275,1pxh,E.C.3.1.3.48,3,1,3
1288,1pyn,E.C.3.1.3.48,3,1,3
1292,1q1m,E.C.3.1.3.48,3,1,3
1305,1q6j,E.C.3.1.3.48,3,1,3
1307,1q6m,E.C.3.1.3.48,3,1,3
1308,1q6n,E.C.3.1.3.48,3,1,3
1309,1q6p,E.C.3.1.3.48,3,1,3
1310,1q6s,E.C.3.1.3.48,3,1,3
1311,1q6t,E.C.3.1.3.48,3,1,3
1318,1q91,E.C.3.1.3.5,3,1,3
1320,1q9d,E.C.3.1.3.11,3,1,3
1374,1qxk,E.C.3.1.3.48,3,1,3
1415,1rpa,E.C.3.1.3.2,3,1,3
1494,1t48,E.C.3.1.3.48,3,1,3
1495,1t49,E.C.3.1.3.48,3,1,3
1497,1t4j,E.C.3.1.3.48,3,1,3
1570,1u32,E.C.3.1.3.16,3,1,3
1669,1vj6,E.C.3.1.3.48,3,1,3
1724,1w80,E.C.3.1.3.36,3,1,3
1734,1wax,E.C.3.1.3.48,3,1,3
1786,1xbo,E.C.3.1.3.48,3,1,3
2067,2azr,E.C.3.1.3.48,3,1,3
2068,2b07,E.C.3.1.3.48,3,1,3
2073,2b1q,E.C.3.1.3.24,3,1,3
2074,2b1r,E.C.3.1.3.24,3,1,3
2092,2bcd,E.C.3.1.3.16,3,1,3
2101,2bgd,E.C.3.1.3.48,3,1,3
2102,2bge,E.C.3.1.3.48,3,1,3
2220,2cm7,E.C.3.1.3.48,3,1,3
2221,2cm8,E.C.3.1.3.48,3,1,3
2222,2cma,E.C.3.1.3.48,3,1,3
2223,2cmb,E.C.3.1.3.48,3,1,3
2224,2cmc,E.C.3.1.3.48,3,1,3
2228,2cne,E.C.3.1.3.48,3,1,3
2229,2cnf,E.C.3.1.3.48,3,1,3
2230,2cng,E.C.3.1.3.48,3,1,3
2231,2cnh,E.C.3.1.3.48,3,1,3
2232,2cni,E.C.3.1.3.48,3,1,3
2241,2d2v,E.C.3.1.3.24,3,1,3
2312,2f6t,E.C.3.1.3.48,3,1,3
2313,2f6v,E.C.3.1.3.48,3,1,3
2314,2f6y,E.C.3.1.3.48,3,1,3
2315,2f6z,E.C.3.1.3.48,3,1,3
2316,2f70,E.C.3.1.3.48,3,1,3
2317,2f71,E.C.3.1.3.48,3,1,3
2341,2fhy,E.C.3.1.3.11,3,1,3
2342,2fie,E.C.3.1.3.11,3,1,3
2343,2fix,E.C.3.1.3.11,3,1,3
2345,2fjm,E.C.3.1.3.48,3,1,3
2346,2fjn,E.C.3.1.3.48,3,1,3
2459,2h02,E.C.3.1.3.48,3,1,3
2460,2h03,E.C.3.1.3.48,3,1,3
2472,2h4g,E.C.3.1.3.48,3,1,3
2473,2h4k,E.C.3.1.3.48,3,1,3
2494,2hb1,E.C.3.1.3.48,3,1,3
2517,2hpa,E.C.3.1.3.2,3,1,3
2567,2ie4,E.C.3.1.3.16,3,1,3
2661,2jjk,E.C.3.1.3.11,3,1,3
2689,2loz,E.C.3.1.3,3,1,3
2726,2nt7,E.C.3.1.3.48,3,1,3
2727,2nta,E.C.3.1.3.48,3,1,3
2938,2q8m,E.C.3.1.3.11,3,1,3
2946,2qbp,E.C.3.1.3.48,3,1,3
2947,2qbq,E.C.3.1.3.48,3,1,3
2948,2qbr,E.C.3.1.3.48,3,1,3
