,PDB code,EC number,Class,Subclass,Subsubclass
21,1a4m,E.C.3.5.4.4,3,5,4
43,1add,E.C.3.5.4.4,3,5,4
45,1af2,E.C.3.5.4.5,3,5,4
226,1cgl,E.C.3.5.4.4,3,5,4
245,1ctt,E.C.3.5.4.5,3,5,4
246,1ctu,E.C.3.5.4.5,3,5,4
422,1fkw,E.C.3.5.4.4,3,5,4
977,1ndv,E.C.3.5.4.4,3,5,4
978,1ndw,E.C.3.5.4.4,3,5,4
979,1ndy,E.C.3.5.4.4,3,5,4
980,1ndz,E.C.3.5.4.4,3,5,4
1132,1o5r,E.C.3.5.4.4,3,5,4
1375,1qxl,E.C.3.5.4.4,3,5,4
1593,1uml,E.C.3.5.4.4,3,5,4
1659,1v79,E.C.3.5.4.4,3,5,4
1660,1v7a,E.C.3.5.4.4,3,5,4
1755,1wn6,E.C.3.5.4.23,3,5,4
1765,1wuq,E.C.3.5.4.16,3,5,4
1766,1wur,E.C.3.5.4.16,3,5,4
1770,1wxz,E.C.3.5.4.4,3,5,4
1998,2ada,E.C.3.5.4.4,3,5,4
2070,2b1g,E.C.3.5.4.10,3,5,4
2071,2b1i,E.C.3.5.4.10,3,5,4
2253,2e1w,E.C.3.5.4.4,3,5,4
2600,2iu0,E.C.3.5.4.10,3,5,4
2617,2j4q,E.C.3.5.4.13,3,5,4
3099,2uz9,E.C.3.5.4.3,3,5,4
3630,2z7g,E.C.3.5.4.4,3,5,4
4203,3ewc,E.C.3.5.4.4,3,5,4
5180,3o7u,E.C.3.5.4.1,3,5,4
5986,3v4j,E.C.3.5.4.14,3,5,4
