,PDB code,EC number,Class,Subclass,Subsubclass
32,1a85,E.C.3.4.24.34,3,4,24
33,1a86,E.C.3.4.24.34,3,4,24
79,1atl,E.C.3.4.24.42,3,4,24
112,1b8y,E.C.3.4.24.17,3,4,24
129,1biw,E.C.3.4.24.17,3,4,24
140,1bm6,E.C.3.4.24.17,3,4,24
162,1bqo,E.C.3.4.24.17,3,4,24
182,1bzs,E.C.3.4.24.34,3,4,24
191,1c3i,E.C.3.4.24.17,3,4,24
220,1caq,E.C.3.4.24.17,3,4,24
232,1ciz,E.C.3.4.24.17,3,4,24
265,1d5j,E.C.3.4.24.17,3,4,24
272,1d7x,E.C.3.4.24.17,3,4,24
274,1d8f,E.C.3.4.24.17,3,4,24
275,1d8m,E.C.3.4.24.17,3,4,24
291,1dmt,E.C.3.4.24.11,3,4,24
296,1dth,E.C.3.4.24.42,3,4,24
368,1eub,E.C.3.4.24.0,3,4,24
423,1fls,E.C.3.4.24.0,3,4,24
446,1g05,E.C.3.4.24.17,3,4,24
468,1g49,E.C.3.4.24.17,3,4,24
470,1g4k,E.C.3.4.24.17,3,4,24
483,1g9a,E.C.3.4.24.69,3,4,24
484,1g9b,E.C.3.4.24.69,3,4,24
485,1g9c,E.C.3.4.24.69,3,4,24
486,1g9d,E.C.3.4.24.69,3,4,24
595,1hfs,E.C.3.4.24.17,3,4,24
631,1hv5,E.C.3.4.24.0,3,4,24
645,1hy7,E.C.3.4.24.17,3,4,24
650,1i1e,E.C.3.4.24.69,3,4,24
731,1jao,E.C.3.4.24.34,3,4,24
732,1jaq,E.C.3.4.24.34,3,4,24
738,1jh1,E.C.3.4.24.34,3,4,24
743,1jiz,E.C.3.4.24.65,3,4,24
744,1jj9,E.C.3.4.24.34,3,4,24
826,1kug,E.C.3.4.24.44,3,4,24
827,1kui,E.C.3.4.24.44,3,4,24
828,1kuk,E.C.3.4.24.44,3,4,24
929,1mmp,E.C.3.4.24.23,3,4,24
930,1mmq,E.C.3.4.24.23,3,4,24
931,1mmr,E.C.3.4.24.23,3,4,24
933,1mnc,E.C.3.4.24.34,3,4,24
1185,1os0,E.C.3.4.24.27,3,4,24
1270,1pwp,E.C.3.4.24.83,3,4,24
1271,1pwq,E.C.3.4.24.83,3,4,24
1272,1pwu,E.C.3.4.24.83,3,4,24
1337,1qf0,E.C.3.4.24.27,3,4,24
1338,1qf1,E.C.3.4.24.27,3,4,24
1339,1qf2,E.C.3.4.24.27,3,4,24
1350,1qji,E.C.3.4.24.21,3,4,24
1380,1r1h,E.C.3.4.24.11,3,4,24
1381,1r1i,E.C.3.4.24.11,3,4,24
1382,1r1j,E.C.3.4.24.11,3,4,24
1406,1rm8,E.C.3.4.24.0,3,4,24
1407,1rmz,E.C.3.4.24.65,3,4,24
1413,1ros,E.C.3.4.24.65,3,4,24
1463,1sln,E.C.3.4.24.17,3,4,24
1514,1thl,E.C.3.4.24.27,3,4,24
1530,1tlp,E.C.3.4.24.27,3,4,24
1533,1tmn,E.C.3.4.24.27,3,4,24
1604,1usn,E.C.3.4.24.17,3,4,24
1611,1utt,E.C.3.4.24.65,3,4,24
1612,1utz,E.C.3.4.24.65,3,4,24
1828,1xuc,E.C.3.4.24.0,3,4,24
1829,1xud,E.C.3.4.24.0,3,4,24
1831,1xur,E.C.3.4.24.0,3,4,24
1845,1y3g,E.C.3.4.24.27,3,4,24
1863,1ycm,E.C.3.4.24.65,3,4,24
1888,1you,E.C.3.4.24.0,3,4,24
1895,1yqy,E.C.3.4.24.83,3,4,24
1915,1z3j,E.C.3.4.24.65,3,4,24
1930,1z9g,E.C.3.4.24.27,3,4,24
1939,1zdp,E.C.3.4.24.27,3,4,24
1956,1zp5,E.C.3.4.24.34,3,4,24
1962,1zs0,E.C.3.4.24.34,3,4,24
1966,1ztq,E.C.3.4.24.0,3,4,24
1967,1zvx,E.C.3.4.24.34,3,4,24
1968,1zxc,E.C.3.4.24.86,3,4,24
1969,1zxv,E.C.3.4.24.83,3,4,24
1994,2a8h,E.C.3.4.24.86,3,4,24
2012,2aig,E.C.3.4.24.46,3,4,24
2239,2d1n,E.C.3.4.24.0,3,4,24
2240,2d1o,E.C.3.4.24.17,3,4,24
2245,2ddf,E.C.3.4.24.86,3,4,24
2368,2fv5,E.C.3.4.24.86,3,4,24
2369,2fv9,E.C.3.4.24.86,3,4,24
2523,2hu6,E.C.3.4.24.65,3,4,24
2554,2i47,E.C.3.4.24.86,3,4,24
2581,2ilp,E.C.3.4.24.69,3,4,24
2643,2jbu,E.C.3.4.24.56,3,4,24
2670,2jnp,E.C.3.4.24.17,3,4,24
2675,2jsd,E.C.3.4.24.-,3,4,24
2677,2k2g,E.C.3.4.24.65,3,4,24
2704,2nm1,E.C.3.4.24.69,3,4,24
2779,2oi0,E.C.3.4.24.86,3,4,24
2814,2ovx,E.C.3.4.24.35,3,4,24
2816,2ovz,E.C.3.4.24.35,3,4,24
2817,2ow0,E.C.3.4.24.35,3,4,24
2818,2ow1,E.C.3.4.24.35,3,4,24
2819,2ow2,E.C.3.4.24.35,3,4,24
2822,2ow9,E.C.3.4.24.-   ,3,4,24
2832,2ozr,E.C.3.4.24.-    ,3,4,24
2884,2pjt,E.C.3.4.24.-,3,4,24
2993,2qpj,E.C.3.4.24.11,3,4,24
3065,2rjp,E.C.3.4.24.82 ,3,4,24
3079,2srt,E.C.3.4.24.17,3,4,24
3081,2tmn,E.C.3.4.24.27,3,4,24
3086,2usn,E.C.3.4.24.17,3,4,24
3126,2v6n,E.C.3.4.24.-,3,4,24
3160,2vj1,E.C.3.4.24.-,3,4,24
3223,2w0d,E.C.3.4.24.65,3,4,24
3227,2w12,E.C.3.4.24.-,3,4,24
3321,2wo8,E.C.3.4.24.65,3,4,24
3322,2wo9,E.C.3.4.24.65,3,4,24
3323,2woa,E.C.3.4.24.65,3,4,24
3368,2x24,E.C.3.4.24.11,3,4,24
3536,2y6c,E.C.3.4.24.23,3,4,24
3537,2y6d,E.C.3.4.24.23,3,4,24
3561,2yb9,E.C.3.4.24.11,3,4,24
3586,2yig,E.C.3.4.24.-,3,4,24
3726,3aig,E.C.3.4.24.46,3,4,24
3794,3b8z,E.C.3.4.24.-,3,4,24
3795,3b92,E.C.3.4.24.86,3,4,24
3885,3c88,E.C.3.4.24.69,3,4,24
3886,3c89,E.C.3.4.24.69,3,4,24
3887,3c8a,E.C.3.4.24.69,3,4,24
3888,3c8b,E.C.3.4.24.69,3,4,24
4028,3dda,E.C.3.4.24.69,3,4,24
4029,3ddb,E.C.3.4.24.69,3,4,24
4057,3dng,E.C.3.4.24.34,3,4,24
4068,3dpe,E.C.3.4.24.34,3,4,24
4069,3dpf,E.C.3.4.24.34,3,4,24
4075,3ds9,E.C.3.4.24.69,3,4,24
4085,3dwb,E.C.3.4.24.71,3,4,24
4108,3e4a,E.C.3.4.24.56,3,4,24
4120,3e8r,E.C.3.4.24.86,3,4,24
4145,3ehx,E.C.3.4.24.65,3,4,24
4146,3ehy,E.C.3.4.24.65,3,4,24
4176,3elm,E.C.3.4.24.-,3,4,24
4205,3ewj,E.C.3.4.24.86,3,4,24
4222,3f15,E.C.3.4.24.65,3,4,24
4259,3fcq,E.C.3.4.24.27,3,4,24
4368,3g42,E.C.3.4.24.86,3,4,24
4570,3hy7,E.C.3.4.24.-,3,4,24
4571,3hy9,E.C.3.4.24.-,3,4,24
4573,3hyg,E.C.3.4.24.-,3,4,24
4597,3i7g,E.C.3.4.24.-,3,4,24
4598,3i7i,E.C.3.4.24.-,3,4,24
4764,3kec,E.C.3.4.24.-,3,4,24
4766,3kej,E.C.3.4.24.-,3,4,24
4767,3kek,E.C.3.4.24.-,3,4,24
4785,3kmc,E.C.3.4.24.86,3,4,24
4786,3kme,E.C.3.4.24.86,3,4,24
4819,3kry,E.C.3.4.24.-,3,4,24
4838,3l0v,E.C.3.4.24.86,3,4,24
4886,3le9,E.C.3.4.24.86,3,4,24
4887,3lea,E.C.3.4.24.86,3,4,24
4890,3lgp,E.C.3.4.24.86,3,4,24
4894,3lik,E.C.3.4.24.65,3,4,24
4895,3lil,E.C.3.4.24.65,3,4,24
4896,3lir,E.C.3.4.24.65,3,4,24
4900,3ljg,E.C.3.4.24.65,3,4,24
4903,3ljt,E.C.3.4.24,3,4,24
4904,3ljz,E.C.3.4.24,3,4,24
4905,3lk8,E.C.3.4.24.65,3,4,24
4906,3lka,E.C.3.4.24.65,3,4,24
5077,3n2u,E.C.3.4.24.65,3,4,24
5078,3n2v,E.C.3.4.24.65,3,4,24
5156,3nx7,E.C.3.4.24.65,3,4,24
5179,3o64,E.C.3.4.24.86,3,4,24
5393,3q2g,E.C.3.4.24,3,4,24
5394,3q2h,E.C.3.4.24,3,4,24
5452,3qiy,E.C.3.4.24.69,3,4,24
5453,3qiz,E.C.3.4.24.69,3,4,24
5454,3qj0,E.C.3.4.24.69,3,4,24
5498,3qw5,E.C.3.4.24.69,3,4,24
5499,3qw6,E.C.3.4.24.69,3,4,24
5500,3qw7,E.C.3.4.24.69,3,4,24
5501,3qw8,E.C.3.4.24.69,3,4,24
5841,3ts4,E.C.3.4.24.65,3,4,24
5843,3tsk,E.C.3.4.24.65,3,4,24
5845,3tt4,E.C.3.4.24.34,3,4,24
5858,3tvc,E.C.3.4.24,3,4,24
5963,3usn,E.C.3.4.24.17,3,4,24
6140,3wv1,E.C.3.4.24.-,3,4,24
6141,3wv2,E.C.3.4.24,3,4,24
6142,3wv3,E.C.3.4.24,3,4,24
6219,3zuk,E.C.3.4.24.-,3,4,24
6226,3zxh,E.C.3.4.24,3,4,24
6236,456c,E.C.3.4.24.-,3,4,24
6249,4a7b,E.C.3.4.24.-,3,4,24
6295,4aig,E.C.3.4.24.46,3,4,24
6742,4dtt,E.C.3.4.24.56,3,4,24
6746,4dv8,E.C.3.4.24.83,3,4,24
6752,4dwk,E.C.3.4.24.56,3,4,24
6800,4efs,E.C.3.4.24.65,3,4,24
6960,4fxy,E.C.3.4.24.16,3,4,24
7042,4gql,E.C.3.4.24.65,3,4,24
7045,4gr0,E.C.3.4.24.65,3,4,24
7046,4gr3,E.C.3.4.24.65,3,4,24
7047,4gr8,E.C.3.4.24.65,3,4,24
7049,4gs8,E.C.3.4.24.56,3,4,24
7050,4gsc,E.C.3.4.24.56,3,4,24
7112,4hev,E.C.3.4.24.69,3,4,24
7248,4ifh,E.C.3.4.24.56,3,4,24
7269,4in9,E.C.3.4.24,3,4,24
7401,4jpa,E.C.3.4.24,3,4,24
7578,4l19,E.C.3.4.24,3,4,24
7598,4l6t,E.C.3.4.24,3,4,24
7665,4lte,E.C.3.4.24.56,3,4,24
7908,4nxo,E.C.3.4.24.56,3,4,24
8077,4pkr,E.C.3.4.24.83,3,4,24
8078,4pks,E.C.3.4.24.83,3,4,24
8079,4pkt,E.C.3.4.24.83,3,4,24
8080,4pku,E.C.3.4.24.83,3,4,24
8081,4pkv,E.C.3.4.24.83,3,4,24
8082,4pkw,E.C.3.4.24.83,3,4,24
8367,4re9,E.C.3.4.24.56,3,4,24
8460,4tln,E.C.3.4.24.27,3,4,24
8464,4tmn,E.C.3.4.24.27,3,4,24
8663,4wf6,E.C.3.4.24.83,3,4,24
8673,4wk7,E.C.3.4.24.82,3,4,24
8676,4wke,E.C.3.4.24.82,3,4,24
8677,4wki,E.C.3.4.24.82,3,4,24
8732,4wzv,E.C.3.4.24.35,3,4,24
8781,4xct,E.C.3.4.24.35,3,4,24
8802,4xm6,E.C.3.4.24.83,3,4,24
8803,4xm7,E.C.3.4.24.83,3,4,24
8804,4xm8,E.C.3.4.24.83,3,4,24
9286,5bot,E.C.3.4.24.-,3,4,24
9287,5boy,E.C.3.4.24,3,4,24
9288,5bpa,E.C.3.4.24.-,3,4,24
9382,5cuh,E.C.3.4.24.35,3,4,24
9385,5cxa,E.C.3.4.24.65,3,4,24
9390,5czm,E.C.3.4.24.65,3,4,24
9396,5d1s,E.C.3.4.24.83,3,4,24
9397,5d1t,E.C.3.4.24.83,3,4,24
9398,5d1u,E.C.3.4.24.83,3,4,24
9400,5d3c,E.C.3.4.24.65,3,4,24
9732,5h8x,E.C.3.4.24.34,3,4,24
9788,5i0l,E.C.3.4.24.65,3,4,24
9789,5i12,E.C.3.4.24.65,3,4,24
9796,5i2z,E.C.3.4.24.65,3,4,24
9797,5i3m,E.C.3.4.24.65,3,4,24
9798,5i43,E.C.3.4.24.65,3,4,24
9799,5i4o,E.C.3.4.24.65 ,3,4,24
9924,5js3,E.C.3.4.24.27,3,4,24
9927,5jss,E.C.3.4.24.27,3,4,24
9929,5jt9,E.C.3.4.24.27,3,4,24
9930,5jvi,E.C.3.4.24.27,3,4,24
9931,5jxn,E.C.3.4.24.27,3,4,24
10011,5l7f,E.C.3.4.24.65,3,4,24
10026,5lif,E.C.3.4.24.27,3,4,24
10049,5lwd,E.C.3.4.24.27,3,4,24
10127,5mnr,E.C.3.4.24.27,3,4,24
10165,5n2t,E.C.3.4.24.27,3,4,24
10166,5n2x,E.C.3.4.24.27,3,4,24
10167,5n2z,E.C.3.4.24.27,3,4,24
10168,5n31,E.C.3.4.24.27,3,4,24
10169,5n34,E.C.3.4.24.27,3,4,24
10170,5n3v,E.C.3.4.24.27,3,4,24
10172,5n3y,E.C.3.4.24.27,3,4,24
10294,5o7e,E.C.3.4.24.3,3,4,24
10501,5tln,E.C.3.4.24.27,3,4,24
10502,5tmn,E.C.3.4.24.27,3,4,24
10597,6bh8,E.C.3.4.24.84,3,4,24
10610,6bsl,E.C.3.4.24.19,3,4,24
10611,6bsm,E.C.3.4.24.19,3,4,24
10613,6bto,E.C.3.4.24.19,3,4,24
10816,830c,E.C.3.4.24.-,3,4,24
10822,966c,E.C.3.4.24.-,3,4,24
10834,6rk4,E.C.3.4.24.75,3,4,24
11065,6mq3,E.C.3.4.24.56,3,4,24
11146,6eds,E.C.3.4.24.56,3,4,24
11213,6byz,E.C.3.4.24.56,3,4,24
