PDB code, PI_COUNT, NI_COUNT, AR_COUNT, H_COUNT, HBD_COUNT, HBA_COUNT, XBD_COUNT, XBA_COUNT, HBD_N3_COUNT, HBD_N2_COUNT, HBD_Nar_COUNT, HBD_Nam_COUNT, HBD_Npl3_COUNT, HBD_N4_COUNT, HBD_O3_COUNT, HBD_S3_COUNT, HBA_N3_COUNT, HBA_N2_COUNT, HBA_N1_COUNT, HBA_Nar_COUNT, HBA_Npl3_COUNT, HBA_O3_COUNT, HBA_O2_COUNT, HBA_Oco2_COUNT, HBA_S3_COUNT, HBA_S2_COUNT, HVY_ATOM_COUNT, ROT_BOND_COUNT, TOTAL_HYD, LOGP, TPSA
4k5p,1,1,1,6,0,0,0,0,0,1,0,0,2,3,0,0,0,1,0,0,1,2,1,0,0,0,15,3,1.902333059228,-0.2295878081364,150.51
1f74,0,1,0,2,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,4,2,2,0,0,20,9,0.551729905721,-3.7501634481374,167.22
5uc4,0,0,3,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,23,3,4.898132696024,4.1649820655091,59.3
5zhl,2,0,2,16,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,30,12,6.354366690053,3.80909441516344,117.02
5vi6,0,0,2,20,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,3,4,0,0,0,45,11,6.741633295441,2.5612261428334,160.6
1igb,1,0,1,7,0,0,1,0,0,0,0,0,1,3,1,0,0,0,0,0,0,1,1,0,0,0,14,3,2.982704558108,1.4638848300854,76.97
3aid,1,0,3,23,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,2,0,0,0,37,12,7.634429859797,4.0162107243435,87.66
2fxu,0,0,0,20,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,5,3,0,0,0,50,18,7.966978743695,4.3551710602008,143.42
3gcu,0,0,5,21,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,1,0,0,0,38,6,7.353533266826,4.7002286791496,122.78
1u33,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10,0,0,1,0,0,1,15,0,0,0,0,36,8,1.00576102608,-7.1564671637729,272.84
3oaf,0,0,3,13,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,22,3,5.011317469447,2.7822557315229,102.74
6g37,0,0,2,5,0,1,0,0,0,0,0,0,2,0,3,0,0,0,0,3,0,4,0,0,0,0,20,2,1.633510853117,-1.8064711910756,126.65
5g5z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,16,0,0,0,0,34,9,0,-8.810306574667,268.68
