PDB code, PI_COUNT, NI_COUNT, AR_COUNT, H_COUNT, HBD_COUNT, HBA_COUNT, XBD_COUNT, XBA_COUNT, HVY_ATOM_COUNT, ROT_BOND_COUNT, TOTAL_HYD, LOGP, TPSA
3jvr,1,0,3,14,3,2,2,0,23,4,5.017244610987,4.3653071205524,68.26
3ozs,1,0,2,9,6,12,0,0,33,7,3.511678027533,-0.3873302267252,184.14
3uri,4,1,3,17,15,12,0,0,65,28,8.594739024791,1.611766615283,347.35
2zcr,0,0,2,19,0,6,0,0,28,10,6.7222002631066,3.6897673834376,168.65
3u9q,0,1,0,9,0,2,0,0,12,8,6.629306046644,5.8957684089848,34.14
3lka,0,0,1,6,2,3,0,0,12,2,1.838241438568,0.2416096394194,77.77
4jfs,1,0,1,7,3,3,0,0,17,2,2.340720457908,0.6945901469229,54.13
4w9l,0,0,2,15,4,6,0,0,41,10,5.680825045831,1.7655663182119,168.97
3gv9,0,1,1,3,1,3,0,0,12,2,2.83229710365,1.4527688806455,91.48
4e5w,2,0,3,9,3,4,0,0,28,3,3.406418487199,2.2359008679582,72.5
2x00,1,0,0,15,2,3,0,0,37,1,5.354518939046,2.5832017108762,69.73
2yfe,0,1,2,18,1,4,0,0,25,7,7.7928212734542,6.7382380226647,63.6
2j78,0,0,0,1,6,7,0,0,13,1,1.00576102608,-2.775588838745,125.54
2fvd,0,0,2,14,3,8,0,0,30,6,4.225842724874,1.409627258257,135.89
4tmn,0,1,2,19,3,6,0,0,36,14,8.780856419144,5.6954578638406,181.88
3aru,1,0,1,5,1,4,0,0,20,5,1.454996027562,0.0107582035629001,76.76
3dd0,0,0,2,6,2,4,0,0,16,3,2.02173374484,0.4146794626551,118.9
1owh,2,0,3,16,8,3,0,0,24,4,7.05725507381,6.2078489617789,56.74
1z6e,2,0,5,15,5,10,0,0,38,7,4.705749191874,2.6367994794291,122.48
3f3d,1,1,0,5,3,3,0,0,9,4,3.74636061377,2.9390037195784,87.08
2brb,0,0,4,16,2,4,0,0,25,5,5.262465281506,3.7958693458626,71.18
4m0z,0,0,3,10,5,5,0,0,24,4,2.942919280687,0.3224813667407,125.26
3n76,0,1,1,10,3,6,0,0,22,5,5.364556920873,2.0044868202667,104.06
3zsx,1,1,3,22,2,5,0,0,34,10,9.037603613983,6.6365940072642,86.14
1nc3,0,0,2,1,6,8,0,0,19,2,0.409912868457,-2.9295827495401,150.4
