PDB code, ENV_HBA_N_OCC_SUM, ENV_HBA_N_OCC_MAX, ENV_HBA_O_OCC_SUM, ENV_HBA_O_OCC_MAX, ENV_HBA_S_OCC_SUM, ENV_HBA_S_OCC_MAX, ENV_HBD_N_OCC_SUM, ENV_HBD_N_OCC_MAX, ENV_HBD_O_OCC_SUM, ENV_HBD_O_OCC_MAX, ENV_HBD_S_OCC_SUM, ENV_HBD_S_OCC_MAX, PI_AR_SCORE_SUM, PI_AR_SCORE_MAX, AR_PI_SCORE_SUM, AR_PI_SCORE_MAX, H_H_SCORE_SUM, H_H_SCORE_MAX, AR_AR_SCORE_SUM, AR_AR_SCORE_MAX, HBD_HBA_N_SCORE_SUM, HBD_HBA_N_SCORE_MAX, HBD_HBA_O_SCORE_SUM, HBD_HBA_O_SCORE_MAX, HBD_HBA_S_SCORE_SUM, HBD_HBA_S_SCORE_MAX, HBD_N3_HBA_N_SCORE_SUM, HBD_N3_HBA_N_SCORE_MAX, HBD_N3_HBA_O_SCORE_SUM, HBD_N3_HBA_O_SCORE_MAX, HBD_N3_HBA_S_SCORE_SUM, HBD_N3_HBA_S_SCORE_MAX, HBD_N2_HBA_N_SCORE_SUM, HBD_N2_HBA_N_SCORE_MAX, HBD_N2_HBA_O_SCORE_SUM, HBD_N2_HBA_O_SCORE_MAX, HBD_N2_HBA_S_SCORE_SUM, HBD_N2_HBA_S_SCORE_MAX, HBD_Nar_HBA_N_SCORE_SUM, HBD_Nar_HBA_N_SCORE_MAX, HBD_Nar_HBA_O_SCORE_SUM, HBD_Nar_HBA_O_SCORE_MAX, HBD_Nar_HBA_S_SCORE_SUM, HBD_Nar_HBA_S_SCORE_MAX, HBD_Nam_HBA_N_SCORE_SUM, HBD_Nam_HBA_N_SCORE_MAX, HBD_Nam_HBA_O_SCORE_SUM, HBD_Nam_HBA_O_SCORE_MAX, HBD_Nam_HBA_S_SCORE_SUM, HBD_Nam_HBA_S_SCORE_MAX, HBD_Npl3_HBA_N_SCORE_SUM, HBD_Npl3_HBA_N_SCORE_MAX, HBD_Npl3_HBA_O_SCORE_SUM, HBD_Npl3_HBA_O_SCORE_MAX, HBD_Npl3_HBA_S_SCORE_SUM, HBD_Npl3_HBA_S_SCORE_MAX, HBD_N4_HBA_N_SCORE_SUM, HBD_N4_HBA_N_SCORE_MAX, HBD_N4_HBA_O_SCORE_SUM, HBD_N4_HBA_O_SCORE_MAX, HBD_N4_HBA_S_SCORE_SUM, HBD_N4_HBA_S_SCORE_MAX, HBD_O3_HBA_N_SCORE_SUM, HBD_O3_HBA_N_SCORE_MAX, HBD_O3_HBA_O_SCORE_SUM, HBD_O3_HBA_O_SCORE_MAX, HBD_O3_HBA_S_SCORE_SUM, HBD_O3_HBA_S_SCORE_MAX, HBD_S3_HBA_N_SCORE_SUM, HBD_S3_HBA_N_SCORE_MAX, HBD_S3_HBA_O_SCORE_SUM, HBD_S3_HBA_O_SCORE_MAX, HBD_S3_HBA_S_SCORE_SUM, HBD_S3_HBA_S_SCORE_MAX, HBA_HBD_N_SCORE_SUM, HBA_HBD_N_SCORE_MAX, HBA_HBD_O_SCORE_SUM, HBA_HBD_O_SCORE_MAX, HBA_HBD_S_SCORE_SUM, HBA_HBD_S_SCORE_MAX, HBA_N3_HBD_N_SCORE_SUM, HBA_N3_HBD_N_SCORE_MAX, HBA_N3_HBD_O_SCORE_SUM, HBA_N3_HBD_O_SCORE_MAX, HBA_N3_HBD_S_SCORE_SUM, HBA_N3_HBD_S_SCORE_MAX, HBA_N2_HBD_N_SCORE_SUM, HBA_N2_HBD_N_SCORE_MAX, HBA_N2_HBD_O_SCORE_SUM, HBA_N2_HBD_O_SCORE_MAX, HBA_N2_HBD_S_SCORE_SUM, HBA_N2_HBD_S_SCORE_MAX, HBA_N1_HBD_N_SCORE_SUM, HBA_N1_HBD_N_SCORE_MAX, HBA_N1_HBD_O_SCORE_SUM, HBA_N1_HBD_O_SCORE_MAX, HBA_N1_HBD_S_SCORE_SUM, HBA_N1_HBD_S_SCORE_MAX, HBA_Nar_HBD_N_SCORE_SUM, HBA_Nar_HBD_N_SCORE_MAX, HBA_Nar_HBD_O_SCORE_SUM, HBA_Nar_HBD_O_SCORE_MAX, HBA_Nar_HBD_S_SCORE_SUM, HBA_Nar_HBD_S_SCORE_MAX, HBA_Npl3_HBD_N_SCORE_SUM, HBA_Npl3_HBD_N_SCORE_MAX, HBA_Npl3_HBD_O_SCORE_SUM, HBA_Npl3_HBD_O_SCORE_MAX, HBA_Npl3_HBD_S_SCORE_SUM, HBA_Npl3_HBD_S_SCORE_MAX, HBA_O3_HBD_N_SCORE_SUM, HBA_O3_HBD_N_SCORE_MAX, HBA_O3_HBD_O_SCORE_SUM, HBA_O3_HBD_O_SCORE_MAX, HBA_O3_HBD_S_SCORE_SUM, HBA_O3_HBD_S_SCORE_MAX, HBA_O2_HBD_N_SCORE_SUM, HBA_O2_HBD_N_SCORE_MAX, HBA_O2_HBD_O_SCORE_SUM, HBA_O2_HBD_O_SCORE_MAX, HBA_O2_HBD_S_SCORE_SUM, HBA_O2_HBD_S_SCORE_MAX, HBA_Oco2_HBD_N_SCORE_SUM, HBA_Oco2_HBD_N_SCORE_MAX, HBA_Oco2_HBD_O_SCORE_SUM, HBA_Oco2_HBD_O_SCORE_MAX, HBA_Oco2_HBD_S_SCORE_SUM, HBA_Oco2_HBD_S_SCORE_MAX, HBA_S3_HBD_N_SCORE_SUM, HBA_S3_HBD_N_SCORE_MAX, HBA_S3_HBD_O_SCORE_SUM, HBA_S3_HBD_O_SCORE_MAX, HBA_S3_HBD_S_SCORE_SUM, HBA_S3_HBD_S_SCORE_MAX, HBA_S2_HBD_N_SCORE_SUM, HBA_S2_HBD_N_SCORE_MAX, HBA_S2_HBD_O_SCORE_SUM, HBA_S2_HBD_O_SCORE_MAX, HBA_S2_HBD_S_SCORE_SUM, HBA_S2_HBD_S_SCORE_MAX, XBD_XBA_SCORE_SUM, XBD_XBA_SCORE_MAX, ES_ENERGY, ES_ENERGY_SQRD_DIST, VDW_ENERGY_ATT, VDW_ENERGY_REP
3jvr,3.79304022925149E-17,3.76834093811918E-17,17.1183931701943,11.7564482519998,1.22830876571453E-19,1.22830876571453E-19,6.71942327285105E-09,6.71639184910526E-09,2.46466746520464E-05,2.46466746520464E-05,0,0,0.0545851207509448,0.0545851207509448,0,0,15.4640410386079,2.76154323596468,0.999997396051228,0.999997396050931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3044657128866E-17,2.30265235275195E-17,1.72918344198903,0.996357809488088,0,0,0,0,0,0,0,0,0,0,1.99853522335641,0.999613079874455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67660429881226E-12,2.67633487666392E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17713076124136E-15,1.13435199050881E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21825933293513,1.02190257385003,-0.717888937570681,-0.144996933324399,-133.299723478624,71.2521659330113
3ozs,0.214397734003538,0.214397731801655,11.2518888605915,10.7990265983252,3.98269602745834,3.98269602654804,1.83351476642767,1.83351342742452,5.24597665582974E-10,5.24597662354906E-10,0.0623462200814457,0.0623462200814457,0.339128434263975,0.278023023493664,1.00000106437173,1.00000000000003,13.3790629546144,2.16236190926019,2.12415333158759,1.94868482416138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46618301360778E-10,9.1711368101603E-11,1.59519299769234E-10,7.52695446743627E-11,8.17364218537765E-15,8.17355847565316E-15,6.19946420931997E-12,6.19880981015648E-12,0.700361495664467,0.697967283451001,0.99296676649116,0.99296676649116,0,0,0,0,0,0,0,0,0,0,0,0,1.27658299346382E-08,1.27658299210366E-08,2.67040811795644,2.52048827441205,0.138099586736458,0.138099586680744,0,0,0,0,0,0,0.00432735627622569,0.00432735591187591,5.219214792818E-10,5.21921479280434E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00790747300828609,0.00790747275636316,2.31928437268143E-19,1.61336854967588E-19,3.99903528126098E-16,3.99903528126098E-16,0,0,0,0,0,0,1.14691682889324,1.14691579106921,2.31501761926526E-12,2.31501504723849E-12,0.0623461806437962,0.0623461806437962,2.06036112292784E-11,1.85632496038481E-11,1.16213067623983E-16,1.16212969284584E-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500583568333136,1.03960821550238,-226.38673470424,123.582854031283
3uri,3.40286793925184E-15,3.40286793925184E-15,35.5676324345282,25.4465681084035,0,0,0.445318567894047,0.445263837251119,0.158920795419472,0.158920795419386,0,0,0.432606732525594,0.432479805932617,0,0,22.2663430050828,4.89434918999812,1.06201518284403,1.0617583015034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.612747403333382,0.612747402497644,0,0,1.94573625374096E-19,1.94573625374096E-19,5.83984974973783,3.96072438138403,0,0,0,0,0,0,0,0,0,0,0.974833782735323,0.973740709541389,0,0,0,0,2.52225716247538E-05,2.3246728830061E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57188750021749E-15,1.48392167909073E-15,7.96619147624742E-13,7.47718857278073E-13,0,0,0,0,0,0,0,0,2.85059427595498E-11,2.83696674446351E-11,4.67663275147262E-14,3.93176775617024E-14,0,0,0.445270308247262,0.445215577769324,1.32956751621067E-10,1.32953593050441E-10,0,0,0,0,0,0,0,0,3.05053642088807E-13,3.05050274950675E-13,8.21798384986635E-16,8.21798266917951E-16,0,0,0,0,0,0,0,0,0,0,-3.56719145372293,-0.602076572178188,-283.681686932599,130.760007707969
2zcr,6.27229227205636,4.30534805000358,4.42068308939396,4.41014207357205,3.1464839147147E-17,3.06065080728052E-17,1.81785409722083,1.6623404055794,5.66935715673959E-09,5.66929737127874E-09,9.2820385579924E-17,9.28202293623028E-17,0,0,0,0,33.4045404884195,4.18292506123759,1.01963114055373,1.01962246176404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50870125378613,1.35380988091843,5.66313576014126E-09,5.66313560220079E-09,3.05072638476658E-23,3.05072638476658E-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.430820858119241,-0.536268623281786,-208.886167021033,99.1216555657092
3u9q,5.88203942007725,3.98929561858013,4.03733733477722,3.75437156253228,0.320762350642822,0.320759138588786,1.02505066558506,1.01311207520555,0.523610486445412,0.523610474848433,0.154436244181568,0.154436244181568,0,0,0,0,39.7062493864538,4.45951789161576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.884083107606701,0.883993638559831,0.122020538209828,0.122020526674365,3.84886385778118E-21,3.84886385778118E-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.348899834962937,-0.176010903307782,-141.019039906202,69.7126577801354
3lka,1.25507097902289,1.25503893012663,9.0994840285056,9.05394203665831,2.74936944116821E-15,2.74936944116821E-15,1.03216021635499,0.985568458106773,1.45909161186502E-14,1.45857910157745E-14,0,0,0,0,0,0,4.96614072114453,1.28436962980876,0.0904931927897413,0.0904931908364594,0,0,0,0,0,0,3.96916980674311E-06,3.84729721242887E-06,0.999514414210831,0.999514405400205,2.72852660896281E-20,2.72852660896281E-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66055586009933E-10,2.19457122485512E-10,3.96484821549373E-16,3.94970098878121E-16,0,0,1.03173103157698,0.985139273647485,6.84703838538001E-19,4.88217346823884E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.832954890923248,-0.0564220967711361,-99.5932239759537,50.9750562919732
4jfs,8.29663938569676,5.35429637671293,7.35714846571112,6.60707761883872,4.12249704338741E-07,4.12249704338287E-07,2.25186840390759,1.63445857318104,4.4379026131694E-14,4.43782387119531E-14,1.24495638156891E-08,1.24495638156891E-08,1.62195316028995,0.932427309182124,0,0,7.21827378406741,0.751202697862358,0.00131474702061596,0.00126127766138429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70214769087933E-07,3.17116386252918E-07,0.96818910800131,0.955075333423672,3.90460636725875E-14,3.90460636725875E-14,3.98892010800357,1.99743616285497,2.09995369445251,1.93134158883127,8.54416428445227E-16,8.54414805634797E-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58168441874461,1.01046879320997,4.43120602492799E-14,4.43115425755821E-14,1.72333489718857E-16,1.72333489718857E-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.663046165645494,0.0417354757498653,-116.335972608627,57.998221744882
4w9l,2.8621006856726,2.78349697155468,14.6887521357766,13.2041340534527,0,0,1.24318644445003,1.24318595107935,0.000283497115863056,0.00028349710920663,0,0,0,0,0,0,14.2180913901073,2.51578269031352,0.720443733710836,0.720418216603847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06328852798473E-07,1.05569374449887E-07,1.88529732205826,1.88529699101686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05311938024775,0.999681262547079,0.800247711976499,0.800242207421093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8414741409093E-09,9.84147131097944E-09,4.42592402664099E-20,4.42089653542482E-20,0,0,0,0,0,0,0,0,0.434961923022495,0.434961444068385,1.41308684210139E-08,1.41301769162069E-08,0,0,0.0279512593016609,0.0279512449043544,0.000271197403203101,0.000271197403189662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0504815334865764,-0.131304164641691,-226.447814579106,114.46723295995
3gv9,4.68433246332528E-10,4.5192479305751E-10,6.95012989411703,5.67341028655375,0,0,0.961968746614466,0.830301527191396,0.00932737014859313,0.00932736416605938,0,0,0,0,9.24742909106664E-07,9.24506770190894E-07,5.43670020053503,1.48908669603074,0.000146296272177965,0.000146296270915294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05886823136999E-17,2.05826581692117E-17,1.99253870970414,0.996952484819844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.778604094101099,0.646936889927076,0.00238211346109895,0.00238210919765849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.05236678886379,-0.179666849140669,-69.9854396435091,37.509299434698
4e5w,0.353525673341857,0.318382281686942,19.6735053840194,16.3639707161659,0.151928642506839,0.151928642506839,1.54183934289986,1.54183933723208,8.80055221791222E-14,8.80055221553666E-14,0,0,9.42476734295073E-11,9.42476734295073E-11,7.70881294503731E-14,7.50876976004268E-14,10.1507410190502,1.75703584529549,0.00725106842578586,0.00725106842578586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35604709274419E-13,8.71188188629733E-14,1.00005823668092,1.00003425021406,2.27643398018796E-08,2.27643398018796E-08,0,0,0,0,0,0,0,0,0,0,0,0,1.12542107206977E-07,6.70813549321519E-08,1.05158535271513,0.98589241811428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999879708748051,0.999879708747987,5.62445747719597E-18,5.62445386532326E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.57242450562949E-11,5.73522855496848E-11,1.35093520184839E-19,1.35093520184839E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.680304206621191,-0.0978270701217845,-214.13636154363,103.191851969427
2x00,0.0764526462136426,0.0764526455323842,10.9086104363507,9.66838497295925,1.98544267847923,1.98544254572645,2.05105759943851E-05,2.00275999086629E-05,0.603958497573293,0.603278273634296,0,0,2.25409020486987,0.896762189168472,0,0,17.4573323539493,2.46286572345823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23278365100405E-12,2.2327674447213E-12,0.997732612031068,0.997681779309774,4.11645398367354E-17,4.07700156291077E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.29863181530928E-12,5.19136621762129E-12,2.36415853568967E-07,2.36415853008961E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86423767406436E-11,1.86086495801035E-11,5.62453950717951E-14,5.62219834034695E-14,0,0,0,0,0,0,0,0,6.25879398425219E-09,6.22901288409912E-09,2.12213426126324E-12,2.05592535276952E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.496220181134508,-0.0985187275698367,-238.93076349239,109.668196493412
2yfe,1.28480889794742E-06,1.28303990601814E-06,1.50878413194891,1.50873806519278,1.021829067434,1.02060098297893,1.61572386296649,1.61572386235687,1.58849307510456E-11,1.56362443080188E-11,1.74783697266361E-10,1.74783697266361E-10,0,0,0,0,30.6228618715442,5.52219478060259,1.68863762262763E-10,1.68863258496642E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.60093752574269E-10,7.60089980987727E-10,0.00044754512917677,0.000447544920689104,2.33751415253538E-15,2.32391478681874E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000111300399610745,0.000111300394244605,1.4618654768685E-19,1.20783496588471E-19,8.91929248299467E-11,8.91929248299467E-11,0.945861932661455,0.945861932067631,3.6649572941138E-17,3.66495621605595E-17,3.62714289225168E-22,3.62714289225168E-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0569665194971895,-0.061241436324743,-182.806739205025,81.141486511016
2j78,7.32808679074164,5.0034656089484,13.564709102876,10.1926976353075,1.85993685031759E-13,1.85993685031759E-13,3.59279794249033,2.92092730912027,5.32447184871502E-09,5.32447181885359E-09,0,0,0,0,0,0,3.33720427378992,0.484312648443842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0040233735072E-10,3.82531344286072E-10,1.1054190022647,0.999997503686167,1.45480894198213E-19,1.45480894198213E-19,0,0,0,0,0,0,4.67760204033276,2.9514176425406,4.72922005317138,3.95116029413558,1.80640318086995E-13,1.80640318086995E-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000171446035834223,0.000171336756042978,5.54402532055474E-17,5.54391638308683E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12358002543253E-12,4.61691010209835E-13,6.96778008762163E-11,6.96778008720752E-11,0,0,3.05986325634022,2.45744682140726,7.21300644701643E-15,7.18707604613561E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238304700095519,0.0375815215459275,-109.20055757283,61.5516195069008
