PDB code, PI_COUNT, NI_COUNT, AR_COUNT, H_COUNT, HBD_COUNT, HBA_COUNT, XBD_COUNT, XBA_COUNT, HBD_N3_COUNT, HBD_N2_COUNT, HBD_Nar_COUNT, HBD_Nam_COUNT, HBD_Npl3_COUNT, HBD_N4_COUNT, HBD_O3_COUNT, HBD_S3_COUNT, HBA_N3_COUNT, HBA_N2_COUNT, HBA_N1_COUNT, HBA_Nar_COUNT, HBA_Npl3_COUNT, HBA_O3_COUNT, HBA_O2_COUNT, HBA_Oco2_COUNT, HBA_S3_COUNT, HBA_S2_COUNT, HVY_ATOM_COUNT, ROT_BOND_COUNT, TOTAL_HYD, LOGP, TPSA, ENV_HBA_N_OCC_SUM, ENV_HBA_N_OCC_MAX, ENV_HBA_O_OCC_SUM, ENV_HBA_O_OCC_MAX, ENV_HBA_S_OCC_SUM, ENV_HBA_S_OCC_MAX, ENV_HBD_N_OCC_SUM, ENV_HBD_N_OCC_MAX, ENV_HBD_O_OCC_SUM, ENV_HBD_O_OCC_MAX, ENV_HBD_S_OCC_SUM, ENV_HBD_S_OCC_MAX, PI_AR_SCORE_SUM, PI_AR_SCORE_MAX, AR_PI_SCORE_SUM, AR_PI_SCORE_MAX, H_H_SCORE_SUM, H_H_SCORE_MAX, AR_AR_SCORE_SUM, AR_AR_SCORE_MAX, HBD_HBA_N_SCORE_SUM, HBD_HBA_N_SCORE_MAX, HBD_HBA_O_SCORE_SUM, HBD_HBA_O_SCORE_MAX, HBD_HBA_S_SCORE_SUM, HBD_HBA_S_SCORE_MAX, HBD_N3_HBA_N_SCORE_SUM, HBD_N3_HBA_N_SCORE_MAX, HBD_N3_HBA_O_SCORE_SUM, HBD_N3_HBA_O_SCORE_MAX, HBD_N3_HBA_S_SCORE_SUM, HBD_N3_HBA_S_SCORE_MAX, HBD_N2_HBA_N_SCORE_SUM, HBD_N2_HBA_N_SCORE_MAX, HBD_N2_HBA_O_SCORE_SUM, HBD_N2_HBA_O_SCORE_MAX, HBD_N2_HBA_S_SCORE_SUM, HBD_N2_HBA_S_SCORE_MAX, HBD_Nar_HBA_N_SCORE_SUM, HBD_Nar_HBA_N_SCORE_MAX, HBD_Nar_HBA_O_SCORE_SUM, HBD_Nar_HBA_O_SCORE_MAX, HBD_Nar_HBA_S_SCORE_SUM, HBD_Nar_HBA_S_SCORE_MAX, HBD_Nam_HBA_N_SCORE_SUM, HBD_Nam_HBA_N_SCORE_MAX, HBD_Nam_HBA_O_SCORE_SUM, HBD_Nam_HBA_O_SCORE_MAX, HBD_Nam_HBA_S_SCORE_SUM, HBD_Nam_HBA_S_SCORE_MAX, HBD_Npl3_HBA_N_SCORE_SUM, HBD_Npl3_HBA_N_SCORE_MAX, HBD_Npl3_HBA_O_SCORE_SUM, HBD_Npl3_HBA_O_SCORE_MAX, HBD_Npl3_HBA_S_SCORE_SUM, HBD_Npl3_HBA_S_SCORE_MAX, HBD_N4_HBA_N_SCORE_SUM, HBD_N4_HBA_N_SCORE_MAX, HBD_N4_HBA_O_SCORE_SUM, HBD_N4_HBA_O_SCORE_MAX, HBD_N4_HBA_S_SCORE_SUM, HBD_N4_HBA_S_SCORE_MAX, HBD_O3_HBA_N_SCORE_SUM, HBD_O3_HBA_N_SCORE_MAX, HBD_O3_HBA_O_SCORE_SUM, HBD_O3_HBA_O_SCORE_MAX, HBD_O3_HBA_S_SCORE_SUM, HBD_O3_HBA_S_SCORE_MAX, HBD_S3_HBA_N_SCORE_SUM, HBD_S3_HBA_N_SCORE_MAX, HBD_S3_HBA_O_SCORE_SUM, HBD_S3_HBA_O_SCORE_MAX, HBD_S3_HBA_S_SCORE_SUM, HBD_S3_HBA_S_SCORE_MAX, HBA_HBD_N_SCORE_SUM, HBA_HBD_N_SCORE_MAX, HBA_HBD_O_SCORE_SUM, HBA_HBD_O_SCORE_MAX, HBA_HBD_S_SCORE_SUM, HBA_HBD_S_SCORE_MAX, HBA_N3_HBD_N_SCORE_SUM, HBA_N3_HBD_N_SCORE_MAX, HBA_N3_HBD_O_SCORE_SUM, HBA_N3_HBD_O_SCORE_MAX, HBA_N3_HBD_S_SCORE_SUM, HBA_N3_HBD_S_SCORE_MAX, HBA_N2_HBD_N_SCORE_SUM, HBA_N2_HBD_N_SCORE_MAX, HBA_N2_HBD_O_SCORE_SUM, HBA_N2_HBD_O_SCORE_MAX, HBA_N2_HBD_S_SCORE_SUM, HBA_N2_HBD_S_SCORE_MAX, HBA_N1_HBD_N_SCORE_SUM, HBA_N1_HBD_N_SCORE_MAX, HBA_N1_HBD_O_SCORE_SUM, HBA_N1_HBD_O_SCORE_MAX, HBA_N1_HBD_S_SCORE_SUM, HBA_N1_HBD_S_SCORE_MAX, HBA_Nar_HBD_N_SCORE_SUM, HBA_Nar_HBD_N_SCORE_MAX, HBA_Nar_HBD_O_SCORE_SUM, HBA_Nar_HBD_O_SCORE_MAX, HBA_Nar_HBD_S_SCORE_SUM, HBA_Nar_HBD_S_SCORE_MAX, HBA_Npl3_HBD_N_SCORE_SUM, HBA_Npl3_HBD_N_SCORE_MAX, HBA_Npl3_HBD_O_SCORE_SUM, HBA_Npl3_HBD_O_SCORE_MAX, HBA_Npl3_HBD_S_SCORE_SUM, HBA_Npl3_HBD_S_SCORE_MAX, HBA_O3_HBD_N_SCORE_SUM, HBA_O3_HBD_N_SCORE_MAX, HBA_O3_HBD_O_SCORE_SUM, HBA_O3_HBD_O_SCORE_MAX, HBA_O3_HBD_S_SCORE_SUM, HBA_O3_HBD_S_SCORE_MAX, HBA_O2_HBD_N_SCORE_SUM, HBA_O2_HBD_N_SCORE_MAX, HBA_O2_HBD_O_SCORE_SUM, HBA_O2_HBD_O_SCORE_MAX, HBA_O2_HBD_S_SCORE_SUM, HBA_O2_HBD_S_SCORE_MAX, HBA_Oco2_HBD_N_SCORE_SUM, HBA_Oco2_HBD_N_SCORE_MAX, HBA_Oco2_HBD_O_SCORE_SUM, HBA_Oco2_HBD_O_SCORE_MAX, HBA_Oco2_HBD_S_SCORE_SUM, HBA_Oco2_HBD_S_SCORE_MAX, HBA_S3_HBD_N_SCORE_SUM, HBA_S3_HBD_N_SCORE_MAX, HBA_S3_HBD_O_SCORE_SUM, HBA_S3_HBD_O_SCORE_MAX, HBA_S3_HBD_S_SCORE_SUM, HBA_S3_HBD_S_SCORE_MAX, HBA_S2_HBD_N_SCORE_SUM, HBA_S2_HBD_N_SCORE_MAX, HBA_S2_HBD_O_SCORE_SUM, HBA_S2_HBD_O_SCORE_MAX, HBA_S2_HBD_S_SCORE_SUM, HBA_S2_HBD_S_SCORE_MAX, XBD_XBA_SCORE_SUM, XBD_XBA_SCORE_MAX, ES_ENERGY, ES_ENERGY_SQRD_DIST, VDW_ENERGY_ATT, VDW_ENERGY_REP
5lav,2.0,0.0,2.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,3.0,6.2459760613,4.4568466275555,61.18,0.2023067223605982,0.2023067223605982,2.409454190507375,2.4094539311609795,0.7116708958216819,0.7116708958216819,2.576657318657252e-08,2.5750972062180547e-08,5.101065606318422e-12,5.101065234857686e-12,3.9248513207607455e-18,3.9248513207607455e-18,0.0851196466221529,0.0851195133365752,0.9999998602580747,0.9999998602580747,32.73251599232432,4.325323250782248,0.9970002228639124,0.9962542955816132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0239583776111102e-16,2.0239583776111102e-16,0.9574700080894768,0.9574700080817308,1.0464295666358456e-18,1.0464295666358456e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0001180324315275,0.0001180324315275,6.67447017566947e-10,6.661424587471467e-10,2.874572648882884e-15,2.874572648882884e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55863161953786e-14,6.818260136066473e-14,3.0606467593350197e-21,3.0606467593350197e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0003592621826218,0.9999969196377628,0.8923256782332784,0.0736218334962612,-159.4043064124205,71.71723009380557
2a25,2.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,61.0,23.0,7.447691131865,2.174588889251001,310.62999999999994,2.3270925774780244,2.3270925774780244,19.82680026204033,18.95171984838353,0.5748942016028641,0.5748942016028641,0.0068045726548665,0.006804570432587,0.1772932747409821,0.1772932747409396,3.4796391969259414e-18,3.4773071030428315e-18,0.0,0.0,0.0,0.0,15.456297612937847,3.950035191598535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.984366655613903e-09,5.984366655613903e-09,3.0059661500416355,3.005966147168192,3.1733450045890132e-09,3.1733450045890132e-09,0.0,0.0,0.0,0.0,0.0,0.0,5.244206869627115e-15,5.224222597450273e-15,1.1311791965975815e-06,1.1310188160258503e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.196170053302856,2.1961700399135515,0.9996216918781816,0.9996216918781764,0.0,0.0,0.945527223714023,0.9455272237136292,5.377432648590264e-24,5.377432648590264e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0529833427079383,-0.3287535393433103,-242.62082411447443,112.35993782210171
5f6u,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,21.0,6.0,3.924066804068,3.293833972048,66.76,2.000592798231833,2.0000029134781308,2.5596180883624147,2.530366296528513,3.2655048071849384e-16,3.2655048071849384e-16,0.0173307728609302,0.0173306324486834,8.923228103722469e-22,8.923228103722469e-22,1.1193257026614647e-20,1.1193257026614647e-20,0.0,0.0,1.000006305976978,1.000006305976978,9.279479785106584,1.821006519350763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.214417736499648e-09,1.2144125764785727e-09,1.3682593652626062e-06,1.0526090510871531e-06,1.5101667583507389e-21,1.5101667583507389e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6238489398012327,0.62384893917848,0.0,0.0,3.4212009796465007e-25,3.4212009796465007e-25,0.0,0.0,0.0,0.0,0.0,0.0,1.1455736828611092e-17,8.105392938918756e-18,0.0,0.0,6.363684911201449e-25,6.363684911201449e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1165094299902632,-0.0365637998440663,-110.619105737394,55.65721135107925
4ufz,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,3.281564107224,0.4074544429282001,155.63,0.0002132822325376,0.0002081227779097,3.364461602106443,3.122804314136045,2.6191686002387906e-17,2.6191686002387906e-17,0.4259779780059928,0.4259778134898485,1.1687704396598888e-10,1.1687703930188638e-10,1.3950634060823787e-20,1.3950634060823787e-20,0.0,0.0,2.0000003920267235,2.000000378407801,12.410514090991995,2.14143059755885,1.9996934479015387,1.999693440633599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.968600955611013e-13,2.9685955755515293e-13,1.514844478503664,1.5147303942119308,4.6934250829128666e-17,4.6934250829128666e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3329518394036903,0.3329518394033107,8.507688700743075e-22,8.499757522983048e-22,0.0,0.0,0.3603904094599216,0.3603903941447616,9.877421075588263e-10,9.877421075580731e-10,2.3819390603959438e-21,2.3819390603959438e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3642880297070257,-0.0503343718224479,-141.25263808023308,69.04026444290113
2vtd,0.0,2.0,3.0,19.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,34.0,11.0,5.854196476757999,3.2339761344573,167.82999999999998,3.5512509186591585,3.4746623219520325,5.7323710649984285,4.472571982732143,2.5300824717717045e-15,2.5300824717717045e-15,1.2687653693954324,1.2146230473803206,0.8319722617729851,0.8319722617726855,0.0,0.0,0.0,0.0,1.204487995196418e-07,1.204457777675599e-07,11.174372654539187,3.6654544311187007,0.5101122946563779,0.5101122522622134,0.0,0.0,0.0,0.0,0.0,0.0,3.966467453399381e-10,3.9664671405748174e-10,1.195076894846841e-10,1.1907603971240955e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.144979285398792e-12,1.1288533406238273e-12,5.250956077057837e-08,5.250956076857465e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.936504134482858,0.9365041341378963,2.9951376929920695e-14,2.9760355994190604e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9171693092324142e-09,2.609933314564881e-09,1.1665375175344677e-14,1.1665069546425747e-14,0.0,0.0,4.464883732430899e-06,4.464876159651568e-06,3.0162621080595944e-08,3.016260842439344e-08,0.0,0.0,2.497174824985618,2.496393576749607,0.9935088190581072,0.9935088190581064,3.572965615861411e-23,3.572965615861411e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.933419415631065,-0.4056559724029288,-153.1100836202634,72.50417386539553
2jo9,1.0,5.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,10.0,0.0,0.0,76.0,26.0,5.327401305419,-1.5010225535774993,446.16,7.955631680904269,6.398399006614901,1.58714635117668,1.5851900669493402,0.0,0.0,1.177274998320978,0.895788292664667,0.4473190161424255,0.4473190161414178,0.0,0.0,7.28752202313861e-08,7.28752202313861e-08,0.7619872465999186,0.7619872465999186,4.929693741333502,1.3716189001498234,0.7197514602559774,0.719751460255977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.745623892789381e-06,7.74561835209348e-06,1.3328029756407657e-06,1.3327818860291395e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.045406483955478e-16,1.5025706163484738e-16,0.0,0.0,0.0,0.0,1.8312622855933575e-05,1.8312622852906384e-05,6.001390831643162e-06,6.000041317282233e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008798777370904,0.0008798777370851,2.3634581696879572e-23,1.5938881564013434e-23,0.0,0.0,2.8426127645686376e-06,2.842601693318758e-06,0.7837795768680021,0.7837795768679933,0.0,0.0,1.8607642597424567,1.7822205137797422,3.975377689654249e-18,3.975377689654249e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4449532703956751,-0.4214948816514051,-102.87008952469118,48.002568421830574
3e9i,3.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,6.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,2.0,0.0,0.0,33.0,11.0,2.588239730268,-2.2185813730801,273.3399999999999,5.977039753635699,5.135614532789518,10.680100103033723,8.743704710963664,0.0003728808542378,0.0003728808542378,2.717857141540704,2.248361376292309,5.824130843073401e-10,5.824130842830632e-10,0.0,0.0,0.0227000459278633,0.0227000455346523,0.0001155657619185,0.0001155591563432,6.961072494690552,1.3965478877622397,1.9913530908301176,1.9913488790062823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0337204352256951,0.0337200014573738,5.725794995661345e-05,5.72579272244822e-05,7.337931479470683e-18,7.337931479470683e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.6922249479158994,0.6922248864783078,1.964498875448808,0.9994620296815416,1.1508191496429217e-06,1.1508191496429217e-06,2.0416960252276806e-10,2.0411190350575198e-10,4.434658579865955,1.8533208177798972,7.089616669196196e-09,7.0896166686182684e-09,0.0013252095614049,0.001323746734196,1.1681324987273145,1.087646670688422,1.287757887110127e-16,1.2265653372034594e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9394462530903266,0.9394462337309883,2.7874020144160867e-19,1.9490641041881128e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054184450667778,0.0054184448176659,1.6069130867829626e-22,1.6069130867829626e-22,0.0,0.0,0.0180574024336863,0.017386177219558,1.1437690940848032e-17,1.1437690940848032e-17,0.0,0.0,0.9934937977308832,0.9934920006936586,2.2909673172482683e-22,2.2909673172482683e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5527111846752985,-0.5370951657611229,-253.96624183232925,128.82260907116154
3tu1,0.0,1.0,1.0,13.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,33.0,7.0,4.844632878146,2.21496011183664,101.9,1.1879901745953112,1.1879901745953112,6.612173620880781,6.61215421959961,1.679861441929036e-07,1.679861441900789e-07,2.962093216216876e-08,2.961596581288341e-08,4.442611700898166e-13,4.442610980371696e-13,2.8674460609345023e-23,2.8674460609345023e-23,0.0,0.0,0.9999968662990992,0.9999968662990096,22.264942124573693,3.331542108621001,0.9999031782358472,0.9999031594636194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.733885414617141e-18,1.733885414617141e-18,4.299109454765648e-09,4.299091552283015e-09,1.984315968393093e-14,1.984315968393093e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.011139559673509e-10,4.004146339564752e-10,5.7724064984896915e-09,5.772406498489e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.716391073048405e-07,8.716390987154817e-07,1.1391427760312157e-18,1.1391427760312157e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3294347738307595e-11,3.329427044316627e-11,1.2837877430298122e-16,1.2837876771266332e-16,0.0,0.0,1.1494852658989339e-11,7.840864507990252e-12,9.42940282421616e-19,9.42940282421616e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.350843609978273e-06,7.969004055031442e-07,-0.1041940755443386,-0.0218846855079825,-170.86198125048176,84.38582472773925
5cte,0.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,31.0,4.0,5.221495396732,3.4099087983463003,78.53000000000002,1.0122763483473096,0.9598831951319392,9.256629437307245,8.170018577720999,6.711537229543837e-17,6.711537229543837e-17,1.0995284467869455,1.0995222099862378,6.751754252603897e-10,6.751754086510684e-10,0.0,0.0,0.0,0.0,4.389775150994964e-07,4.389775150994964e-07,16.504242175543325,3.236119997945638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.98332476390797e-18,7.98332476390797e-18,1.0001187066224817,0.9999999865143404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2598686663269474e-13,1.0136427092803821e-13,3.48920499072927e-20,3.4298589857820366e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.896850094018553,1.8968500926946452,2.9770823129182626e-15,2.9608145342962328e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099495340110601,-0.0905721604033158,-209.40358156897932,89.12573446485156
2wgs,1.0,0.0,2.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,28.0,3.0,4.122736096949,2.7722502024939,72.16000000000001,3.797989939427993,3.696269821442236,6.782855698491495,6.4802524063358655,5.822007549959894e-18,5.817051027422638e-18,0.2192941256981517,0.2192940878058208,1.2974202678815586e-05,1.297420267874884e-05,1.1750898421655357e-22,1.1750898421655357e-22,0.0767760030746569,0.0497030828404541,1.0000000000140703,1.000000000012021,16.37012921310846,1.4145666055143946,1.2005208864323342,1.2000138339825102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011907572815597,0.0011907552619958,1.059392301844316e-09,7.594391824105081e-10,1.922212989517515e-21,1.922212989517515e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.764868885863595e-11,5.3768569389671254e-11,1.311820634448234e-18,1.3059440395685732e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.988749584668305,0.9887495842776018,1.7750851899330405e-22,1.7750851899330405e-22,4.448194171548735e-23,4.448194171548735e-23,0.0005706093683434,0.0005706086917088,0.034246328970556,0.034246328970556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.977353013042444e-05,4.9747109541546125e-05,0.7665203430694973,0.0908661503754401,-212.18240815950855,111.00855486662437
