PDB code, ENV_HBA_OCC_SUM, ENV_HBA_OCC_MAX, ENV_HBD_OCC_SUM, ENV_HBD_OCC_MAX, PI_AR_SCORE_SUM, PI_AR_SCORE_MAX, AR_PI_SCORE_SUM, AR_PI_SCORE_MAX, H_H_SCORE_SUM, H_H_SCORE_MAX, AR_AR_SCORE_SUM, AR_AR_SCORE_MAX, HBD_HBA_SCORE_SUM, HBD_HBA_SCORE_MAX, HBA_HBD_SCORE_SUM, HBA_HBD_SCORE_MAX, XBD_XBA_SCORE_SUM, XBD_XBA_SCORE_MAX, ES_ENERGY, ES_ENERGY_SQRD_DIST, VDW_ENERGY_ATT, VDW_ENERGY_REP
3jvr,13.3906745048488,9.76047736263723,2.46533913975378E-05,2.46533883454088E-05,0.0545851207509448,0.0545851207509448,0,0,15.4640410386079,2.76154323596468,0.999997396051228,0.999997396050931,3.72771866534544,1.99597088936254,2.6777814295735E-12,2.67746922865443E-12,1.21825933293513,1.02190257385003,-0.717888937570681,-0.144996933324399,-133.299723478624,71.2521659330113
3ozs,10.9471466421267,9.34900077899195,0.674363147667332,0.67436284690703,0.339128434263975,0.278023023493664,1.00000106437173,1.00000000000003,13.3790629546144,2.16236190926019,2.12415333158759,1.94868482416138,4.5018359799267,3.51345504099492,1.22149783936638,1.22149454445949,0,0,0.500583568333136,1.03960821550238,-226.38673470424,123.582854031283
3uri,28.1401762761501,19.8993323682516,0.158969054903643,0.158969053627517,0.432606732525594,0.432479805932617,0,0,22.2663430050828,4.89434918999812,1.06201518284403,1.0617583015034,7.42745615837816,5.54723574015189,0.445270308409875,0.445215577810811,0,0,-3.56719145372293,-0.602076572178188,-283.681686932599,130.760007707969
2zcr,10.6929753614503,8.42327934066455,0.309152843440925,0.308530524662165,0,0,0,0,33.4045404884195,4.18292506123759,1.01963114055373,1.01962246176404,0,0,1.50870125944927,1.35380988091843,0,0,0.430820858119241,-0.536268623281786,-208.886167021033,99.1216555657092
3u9q,10.2401391054973,6.28011618942998,0.696993750395511,0.560614124351957,0,0,0,0,39.7062493864538,4.45951789161576,0,0,0,0,1.00610364581653,0.883993638559831,0,0,-0.348899834962937,-0.176010903307782,-141.019039906202,69.7126577801354
3lka,9.35503662414786,9.04891801623501,0.000429184511965022,0.00042918423983081,0,0,0,0,4.96614072114453,1.28436962980876,0.0904931927897413,0.0904931908364594,0.999518383380638,0.999514405400205,1.03173103184304,0.985139273866942,0,0,-0.832954890923248,-0.0564220967711361,-99.5932239759537,50.9750562919732
4jfs,8.59672498298539,6.61184028811659,0.670183997612542,0.623989779971065,1.62195316028995,0.932427309182124,0,0,7.21827378406741,0.751202697862358,0.00131474702061596,0.00126127766138429,7.0570632806722,2.95251149627865,1.58168441874466,1.01046879320997,0,0,0.663046165645494,0.0417354757498653,-116.335972608627,57.998221744882
4w9l,13.8121883008378,11.0080288453223,0.780285537866191,0.780279808920756,0,0,0,0,14.2180913901073,2.51578269031352,0.720443733710836,0.720418216603847,3.73866452061136,2.88497825356394,0.463184403699701,0.46318389621735,0,0,-0.0504815334865764,-0.131304164641691,-226.447814579106,114.46723295995
3gv9,4.95759118488132,4.67645780173391,0.190309909200861,0.183386910353166,0,0,9.24742909106664E-07,9.24506770190894E-07,5.43670020053503,1.48908669603074,0.000146296272177965,0.000146296270915294,1.99253870970414,0.996952484819844,0.780986207562198,0.646936889927076,0,0,-1.05236678886379,-0.179666849140669,-69.9854396435091,37.509299434698
4e5w,18.1273159751654,14.3780440478376,0.541959634086169,0.541959628426761,9.42476734295073E-11,9.42476734295073E-11,7.70881294503731E-14,7.50876976004268E-14,10.1507410190502,1.75703584529549,0.00725106842578586,0.00725106842578586,2.05164372470264,1.98592666832834,0.999879708813775,0.999879708805339,0,0,0.680304206621191,-0.0978270701217845,-214.13636154363,103.191851969427
2x00,11.9727729125891,10.6567260192873,0.603979001869672,0.603298242618916,2.25409020486987,0.896762189168472,0,0,17.4573323539493,2.46286572345823,0,0,0.997732848454453,0.997682015725627,6.27961474064917E-09,6.24767619414382E-09,0,0,-0.496220181134508,-0.0985187275698367,-238.93076349239,109.668196493412
2yfe,2.53016693830253,2.02187189597488,0.669750630006896,0.669750629980527,0,0,0,0,30.6228618715442,5.52219478060259,1.68863762262763E-10,1.68863258496642E-10,0.00044754588927286,0.000447544920689104,0.945973233150258,0.945973232551067,0,0,0.0569665194971895,-0.061241436324743,-182.806739205025,81.141486511016
