PDB code, ENV_HBA_OCC_SUM, ENV_HBA_OCC_MAX, ENV_HBD_OCC_SUM, ENV_HBD_OCC_MAX, PI_AR_SCORE_SUM, PI_AR_SCORE_MAX, AR_PI_SCORE_SUM, AR_PI_SCORE_MAX, H_H_SCORE_SUM, H_H_SCORE_MAX, AR_AR_SCORE_SUM, AR_AR_SCORE_MAX, HBD_HBA_SCORE_SUM, HBD_HBA_SCORE_MAX, HBA_HBD_SCORE_SUM, HBA_HBD_SCORE_MAX, XBD_XBA_SCORE_SUM, XBD_XBA_SCORE_MAX, ES_ENERGY, ES_ENERGY_SQRD_DIST, VDW_ENERGY_ATT, VDW_ENERGY_REP
4k5p,21.2301138116089,8.73718127404566,0.4573383394118,0.457334974519411,0.036378534438224,0.0262448722834315,2.5814783692501E-06,2.58147832067979E-06,7.36147127606102,0.955882375735089,0.920127898238964,0.92012779439147,5.405280960123,2.77843117717903,0.56473360288607,0.56473339083742,0,0,-2.42975244749035,-1.59573824616686,-125.197389702084,74.7296621654773
1f74,9.97456171115839,7.32857233169883,1.87351443765561,1.51630803999852,0,0,0,0,0.820970012139316,0.270755285923177,0,0,4.04041949800395,3.53996452087915,4.54889956614461,3.01586012760719,0,0,-0.0478168517417724,-0.338110575742209,-120.679079566314,60.4967195845872
5uc4,5.51151770005465,5.50557013439029,0.573616637221051,0.573616637119152,0,0,1.60296885405227E-09,1.60296885405227E-09,16.7188589150085,2.81864902603737,2.54096838177408E-06,2.54096838177408E-06,0.82500758222659,0.782141594621348,1.10010717051954,1.10010711383852,0,0,-0.029935737953669,-0.148834769584781,-162.167688706023,79.4622164178099
5zhl,13.5949939641924,10.8338216613749,1.0389004243817,1.038888044411,0.169042503470456,0.169042503470456,0,0,8.62052817966514,2.68895548804326,7.91677236605977E-08,7.91677236605977E-08,3.94893783062084,3.69668195507857,0.959343487686143,0.959343487654143,0,0,0.457765415986911,-0.103419612096972,-193.843639455044,97.1476058038373
5vi6,24.0127030473864,14.277595076653,0.587491457233396,0.481208244702077,0,0,3.09434183430649E-05,3.09434183430649E-05,13.0994105299709,2.12224717945417,0.999999999868098,0.99999999986652,7.89860887598612,4.6751882411053,1.88933852512177,1.77045354916203,0,0,0.0956359879530903,-0.132810919549225,-215.379026057347,115.615846991975
1igb,6.49356362042887,6.45913323577333,1.07493688700273E-05,7.39133511118808E-06,0.421308914975348,0.286433582227908,1.22140408559377E-13,1.19269475661531E-13,22.1207877555486,1.93139247669095,1.29191026143382,0.999940370203347,4.2662822255551,2.99876289980536,1.7262450926373E-10,1.72623420892016E-10,0.24033969591118,0.0837894287742488,0.49912729472049,0.767396608457348,-129.326585467497,88.8781049968545
3aid,8.49589214944644,8.32603396617976,0.12254581133914,0.122544042063241,0,0,0,0,24.7930495769456,5.25114615382947,1.7156625880743E-11,1.7156625880743E-11,2.56121878646333,1.60851652100946,0.788378645483214,0.788378645341825,0,0,-0.151863657174147,-0.113842914183558,-215.907399848811,90.8243078295161
2fxu,9.63972207241787,8.60385901985893,0.125201263196183,0.125201262491998,0,0,0,0,24.4728603405793,4.7334806034967,0,0,0.864336326832876,0.855088354875476,1.98267813271377,1.98267812823432,0,0,-0.480827080988768,-0.0443625393911545,-295.245871439848,142.46492422628
3gcu,10.9825436323602,8.99385203220634,0.12368834445637,0.12303944054269,0,0,1.17442148289903,1.17442144889253,30.456928613283,4.82283407324651,1.00016867111024,1.00016867108455,2.86451150933994,2.72459200623011,1.91783901443998,1.91783901299329,0,0,-0.0601097531740279,-0.128284384874216,-281.23892020098,132.134430704085
1u33,11.8899202480585,9.16564295721484,0.525765923546583,0.52499383403401,0,0,0,0,2.88413963567615,0.713208725605746,0,0,11.4034436036278,5.66271210162007,2.34267883065678,2.31754619978477,0,0,-0.374095296679929,0.220533021226126,-208.091793447358,110.997806584587
3oaf,6.22955746140286,5.6098217468669,1.11680737280742E-05,1.11676966897526E-05,0,0,0,0,19.4643840354779,3.41801487275474,2.12988353247392,1.13005784837561,4.28506725713968,1.72892175750399,4.54182364831922E-07,4.54160142267655E-07,3.44440737070217,0.995924040514635,-0.220318053707051,-0.0536130790698232,-131.333890539622,59.9316388021121
