PDB code, PI_COUNT, NI_COUNT, AR_COUNT, H_COUNT, HBD_COUNT, HBA_COUNT, XBD_COUNT, XBA_COUNT, HVY_ATOM_COUNT, ROT_BOND_COUNT, TOTAL_HYD, LOGP, TPSA
3qs8,0,1,2,12,0,2,0,0,16,3,3.810459728046,3.5408049077686,40.13
3rsb,2,3,1,6,7,12,0,0,32,8,1.561623234806,-4.0969838017803,336.05
1bb0,1,0,1,12,7,7,0,0,35,11,3.760847685718,-0.155827939595999,179.04
6kzc,2,0,3,17,3,6,0,0,38,6,5.529637654231,3.519459097306,68.74
6E+083,5,1,0,18,36,22,0,0,91,48,6.557679071379,-6.9964771766274,694.44
5mxr,0,1,2,6,1,5,0,0,18,4,1.908126668818,0.4559923755481,135.81
5lav,2,0,2,16,5,1,2,0,28,3,6.2459760613,4.4568466275555,61.18
1v2h,2,0,1,3,6,2,0,0,11,0,0.814318786352,0.2047416426787,96.65
6u9v,2,2,1,5,7,10,0,0,28,6,1.312521751988,-3.2363957191013,276.88
3ipx,0,0,0,3,4,6,0,0,17,2,0.680652162631,-1.59440243830676,105.88
6m8e,0,0,2,9,4,7,0,0,23,2,2.719522737932,1.965055822884,116.45
3g2w,1,4,0,17,12,18,0,0,72,36,8.817135493329,1.8652647581484,466.49
2f2c,1,0,3,12,6,4,1,0,28,7,5.136237724359,3.0603647102839,115.16
4x60,1,0,2,8,4,5,0,0,28,7,2.631232640753,-0.0275324323554998,100.81
6f94,0,0,3,17,4,3,0,0,30,6,5.713427719578,3.6502449319251,95.15
2n0u,0,0,3,24,1,5,2,0,40,6,8.376358001845,5.5191719505929,98.03
6hlz,0,1,0,1,5,8,0,0,20,7,0.339841940879,-4.1833533230946,161.59
2r6y,1,0,4,19,3,4,0,0,33,7,6.003604725714,5.1620482804015,99.44
4bea,5,0,1,37,36,19,0,0,110,45,14.5880278315116,1.9791089200697,656.94
3zrm,0,0,3,10,2,3,0,0,23,2,3.17248630191,2.16810463117134,90.46
6q8a,1,0,0,5,8,8,0,0,29,8,2.160701636428,-1.68739371687416,214.37
5wik,0,0,2,13,3,6,0,0,28,5,4.582271306952,3.9663014083634,84.75
4zhm,1,1,2,21,14,16,0,0,72,8,7.619600697892,0.379497083935201,432.17
1zky,0,0,1,9,2,3,0,0,21,2,3.865548004639,2.4437814623257,49.69
4y2u,0,0,1,10,2,1,0,0,18,3,3.499189809093,2.2784613278115,50.36
5ovf,0,0,4,15,2,6,0,0,29,6,4.789175510595,3.9120466529898,84.95
6dtx,0,0,2,14,1,7,0,0,31,7,3.888740077743,1.88102635245884,96.59
5d0j,1,1,1,9,12,10,0,0,45,17,3.59905603311,-2.1789548392273,305.69
3s9i,0,1,1,6,1,4,0,0,14,4,1.908126668818,0.5686659178364,77.43
3kqs,1,0,1,7,4,0,0,0,10,0,1.931247375557,1.8758012192256,49.65
2fwz,1,0,3,13,4,6,1,0,28,7,5.270335101013,3.0002230453516,129.99
1bmk,1,0,3,11,3,4,0,0,23,4,3.498215431758,2.3436516270551,70.87
1lxh,3,2,4,40,32,35,0,0,166,59,13.663056642494,-1.8134630740464,897.72
1ce5,0,0,1,6,3,2,0,0,9,1,1.908126668818,1.4213652516236,49.87
5kpm,0,0,2,15,2,3,0,0,28,3,7.22581528231,5.7432470532785,57.78
