     code     1     2     3     4     5     6
1    4llx  4tmn  3g0w  2x00  4w9h  1nvq  3uri
2    5c28  2vvn  3g0w  2x00  4rfm  4w9h  1nvq
3    3uuo  3uri  2vvn  5dwr  1nvq  4gid  2al5
4    3ui7  3uri  2vvn  5dwr  1nvq  4tmn  2al5
5    5c2h  4gid  2vvn  2zcq  3gnw  4tmn  3g0w
6    2v00  3g0w  3utu  2r9w  2p15  2qbp  4w9h
7    3wz8  3g0w  2qbp  4w9h  1nvq  3uri  3gnw
8    3pww  3u8n  5dwr  3fv1  3p5o  2zcq  4tmn
9    3prs  3u8n  1sqa  3o9i  1nvq  2x00  3nw9
10   3uri  3ebp  4pcs  1sqa  1u1b  3g0w  1nvq
11   4m0z  3ag9  4twp  4gid  2vw5  1sqa  1u1b
12   4m0y  3uri  1o3f  4w9h  2qbp  3ejr  4de1
13   3qgy  1o3f  4pcs  3u8n  2al5  2r9w  3o9i
14   4qd6  2cet  3ebp  3uri  2p15  3nw9  2vw5
15   4rfm  3ag9  2zcq  2qbp  2p15  4gid  3f3e
16   4cr9  1nvq  4tmn  4jia  5dwr  4gid  1sqa
17   4cra  5c2h  4tmn  3zso  2r9w  3nw9  4de1
18   4x6p  3u8n  4tmn  1nvq  3o9i  1mq6  4de1
19   4crc  5c2h  2vvn  3dd0  5dwr  4ivc  3nw9
20   4ty7  3u8n  2vvn  1nvq  3ge7  3o9i  4de1
21   5aba  3g0w  2x00  4w9h  1nvq  3uri  3gnw
22   5a7b  3g0w  2qbp  4w9h  1nvq  3uri  3gnw
23   4agn  3g0w  2qbp  4w9h  1nvq  3uri  3gnw
24   4agp  3g0w  2qbp  4w9h  1nvq  3uri  3gnw
25   4agq  3g0w  2p4y  1nvq  3uri  3gnw  3zso
26   3bgz  1u1b  2vw5  3qqs  4tmn  3gnw  4w9h
27   3jya  3u8n  2cet  4ty7  4tmn  3nw9  2r9w
28   2c3i  3uri  3nw9  5dwr  1nvq  4tmn  2vw5
29   4k18  3dd0  3ejr  3f3e  5c2h  4tmn  2vvn
30   5dwr  2al5  4f3c  3utu  3f3e  4twp  2x00
31   3mss  3g0w  2qbp  4w9h  1nvq  3uri  3gnw
32   3k5v  2zcq  2qbp  3f3e  3dd0  3nw9  2cet
33   3pyy  2zcq  4tmn  3f3e  5c2h  4gr0  2vvn
34   2v7a  3u8n  2xb8  2vw5  4gid  2x00  3f3e
35   4twp  3arp  4gr0  3nw9  2vvn  2zcq  3g0w
36   3wtj  4gr0  2vvn  3g0w  2x00  4w9h  1nvq
37   3zdg  3g0w  4gid  2fvd  2r9w  2p15  2qbp
38   3u8k  4w9h  2r9w  3qqs  3dd0  1sqa  4ivc
39   4qac  3kr8  1nvq  3gnw  3fv1  4gr0  3qqs
40   3u8n  1nvq  2vvn  5dwr  3uri  4gid  2vw5
41   1a30  3u8n  2p4y  4w9h  1nvq  3gnw  3zso
42   2qnq  3g0w  2qbp  4w9h  1nvq  3uri  3gnw
43   1g2k  3g0w  2qbp  4w9h  1nvq  3uri  3gnw
44   1eby  3g0w  2qbp  4w9h  1nvq  3uri  3gnw
45   3o9i  5dwr  2vvn  3dd0  5c2h  4jia  3f3e
46   4lzs  2vvn  4tmn  2al5  3g0w  4jia  2qbp
47   3u5j  4gr0  2vvn  2zcq  3g0w  2x00  4w9h
48   4wiv  4de1  4gr0  2vvn  4tmn  2al5  3g0w
49   4ogj  3u8n  4tmn  3uri  1nvq  4de1  2x00
50   3p5o  2vvn  2zcq  4tmn  5c2h  3qqs  3g0w
51   1ps3  3g0w  2qbp  4w9h  1nvq  3uri  3gnw
52   3dx1  3g0w  1u1b  3nw9  2r9w  2p15  2qbp
53   3d4z  3g0w  2qbp  4w9h  1nvq  3uri  3gnw
54   3dx2  3g0w  1u1b  2p15  2qbp  4rfm  4w9h
55   3ejr  3g0w  2p15  4w9h  1nvq  3uri  3gnw
56   3l7b  3u8n  2fvd  2r9w  2qbp  3uri  3gnw
57   4eky  3fv1  3g0w  2x00  4w9h  1nvq  3uri
58   3g2n  2fvd  3g0w  2x00  2qbp  4rfm  4w9h
59   3syr  3u8n  3gnw  2vvn  3nw9  2r9w  2zcq
60   3ebp  4gr0  3g0w  2p4y  1nvq  3uri  3gnw
61   2w66  3g0w  2r9w  2qbp  4rfm  4w9h  3gnw
62   2w4x  5c2h  2zcq  2qbp  2vw5  4gid  3qqs
63   2wca  3g0w  2qbp  4w9h  1nvq  3uri  3gnw
64   2xj7  3ag9  1mq6  3kr8  5c2h  4gid  3dd0
65   2vvn  1mq6  2vw5  2x00  3dd0  5c2h  2r9w
66   3aru  2zcq  1o3f  4pcs  4rfm  4gr0  3ejr
67   3arv  3g0w  2qbp  4w9h  1nvq  3uri  3gnw
