     code     1     2     3     4     5     6
1    4llx  4de1  3gnw  3qqs  3f3e  3utu  3u8n
2    5c28  3uex  3gnw  2p4y  4agq  3dd0  4de1
3    3uuo  5c2h  2al5  1mq6  3utu  3ejr  3fv1
4    3ui7  2al5  1o3f  3f3e  3fv1  1sqa  1mq6
5    5c2h  2zcq  3utu  3gnw  3f3e  2p4y  3zso
6    2v00  3myg  2al5  3f3e  3qqs  1mq6  3utu
7    3wz8  2zcq  1nvq  3o9i  3gnw  3f3e  2p4y
8    3pww  3f3e  3uri  1mq6  3fv1  4f3c  3ge7
9    3prs  2zcq  1nvq  1mq6  3qqs  3o9i  3gnw
10   3uri  2zcq  3ge7  3u8n  5c2h  3qqs  3f3e
11   4m0z  1u1b  2zcq  1nvq  3utu  1mq6  3o9i
12   4m0y  2zcq  3dd0  4twp  3u8n  3utu  3o9i
13   3qgy  2zcq  1nvq  3gnw  3f3e  2p4y  4ty7
14   4qd6  2zcq  3fv1  3utu  3gnw  3f3e  2p4y
15   4rfm  2zcq  4gid  1mq6  3o9i  3gnw  3f3e
16   4cr9  4agq  1sqa  4ty7  4pcs  3f3e  3gnw
17   4cra  2zcq  4agq  3u8n  3utu  3o9i  3gnw
18   4x6p  3qqs  2zcq  4agq  1mq6  3o9i  3gnw
19   4crc  2zcq  1nvq  3o9i  3gnw  3f3e  2p4y
20   4ty7  5c2h  2al5  3coy  2r9w  3utu  4gid
21   5aba  3ge7  4ty7  3f3e  3o9i  4gid  1mq6
22   5a7b  5c2h  1nvq  3fv1  3ejr  3u8n  3utu
23   4agn  2zcq  3utu  3o9i  3gnw  3f3e  2p4y
24   4agp  2zcq  4agq  3o9i  3gnw  3f3e  2p4y
25   4agq  2zcq  3fv1  3u8n  1mq6  3qqs  3o9i
26   3bgz  2zcq  4gid  3qqs  3gnw  3f3e  2p4y
27   3jya  2zcq  4agq  4twp  4rfm  3ejr  3u8n
28   2c3i  2zcq  4agq  1mq6  3qqs  3o9i  3gnw
29   4k18  2zcq  3ejr  3utu  1mq6  3gnw  3f3e
30   5dwr  2zcq  3dd0  3fv1  1mq6  5c2h  3gnw
31   3mss  2al5  4f3c  4ty7  3fv1  2r9w  4agq
32   3k5v  1e66  5c2h  3uex  4rfm  3fv1  3ejr
33   3pyy  5c2h  3fv1  3u8n  3utu  1mq6  3o9i
34   2v7a  2zcq  1sqa  3utu  3f3e  4ty7  3coy
35   4twp  3fv1  3ge7  2p15  2zcq  1nvq  3f3e
36   3wtj  2zcq  4agq  3u8n  3utu  1mq6  3f3e
37   3zdg  5c2h  1o3f  3f3e  3u8n  3fv1  3dd0
38   3u8k  5c2h  2al5  3fv1  3f3e  3dd0  3ge7
39   4qac  2zcq  3fv1  3u8n  3utu  1mq6  3qqs
40   3u8n  2al5  4f3c  1mq6  4ty7  3ejr  3fv1
41   1a30  5c2h  4de1  4agq  3ge7  2r9w  4f3c
42   2qnq  2zcq  2x00  3utu  3u8n  3fv1  3ge7
43   1g2k  4agq  2zcq  3u8n  3qqs  3o9i  3gnw
44   1eby  2zcq  4pcs  4gid  3ge7  4gr0  3o9i
