     code     1     2     3     4     5     6
1    4llx  1nvq  3f3e  4twp  4f3c  1mq6  3myg
2    5c28  1nvq  3f3e  4twp  4f3c  1mq6  3myg
3    3uuo  1nvq  3f3e  4twp  4f3c  1mq6  3myg
4    3ui7  1nvq  3f3e  4twp  4f3c  1mq6  3myg
5    5c2h  1nvq  3qqs  4twp  4f3c  1mq6  3myg
6    2v00  1nvq  3f3e  4twp  4f3c  1mq6  3myg
7    3wz8  1nvq  3f3e  4twp  4f3c  1mq6  3myg
8    3pww  1nvq  3f3e  4twp  4f3c  1mq6  3myg
9    3prs  1nvq  3f3e  4twp  4f3c  1mq6  3myg
10   3uri  1nvq  3qqs  2cet  4twp  4f3c  1mq6
11   4m0z  1nvq  3f3e  4twp  4f3c  1mq6  3myg
12   4m0y  1nvq  3f3e  4twp  4f3c  1mq6  3myg
13   3qgy  1nvq  3f3e  4twp  4f3c  1mq6  3myg
14   4qd6  1nvq  3f3e  4twp  4f3c  1mq6  3myg
15   4rfm  1nvq  3qqs  4twp  4f3c  1mq6  3myg
16   4cr9  1nvq  3f3e  4twp  4f3c  1mq6  3myg
17   4cra  1nvq  3f3e  4twp  4f3c  1mq6  3myg
18   4x6p  1nvq  3f3e  4twp  4f3c  1mq6  3myg
19   4crc  1nvq  3f3e  4twp  4f3c  1mq6  3myg
20   4ty7  1nvq  3qqs  4twp  4f3c  1mq6  3myg
21   5aba  1nvq  3f3e  4twp  4f3c  1mq6  3myg
22   5a7b  1nvq  3f3e  4twp  4f3c  1mq6  3myg
23   4agn  1nvq  3f3e  4twp  4f3c  1mq6  3myg
24   4agp  1nvq  3f3e  4twp  4f3c  1mq6  3myg
25   4agq  1nvq  3qqs  2cet  4twp  4f3c  1mq6
26   3bgz  1nvq  3f3e  4twp  4f3c  1mq6  3myg
27   3jya  1nvq  3f3e  4twp  4f3c  1mq6  3myg
28   2c3i  1nvq  3f3e  4twp  4f3c  1mq6  3myg
29   4k18  1nvq  3f3e  4twp  4f3c  1mq6  3myg
30   5dwr  1nvq  3qqs  2cet  4twp  4f3c  1mq6
31   3mss  1nvq  3f3e  4twp  4f3c  1mq6  3myg
32   3k5v  1nvq  3f3e  4twp  4f3c  1mq6  3myg
33   3pyy  1nvq  3f3e  4twp  4f3c  1mq6  3myg
34   2v7a  1nvq  3f3e  4twp  4f3c  1mq6  3myg
35   4twp  1nvq  3qqs  2cet  4f3c  1mq6  3myg
36   3wtj  1nvq  3f3e  4twp  4f3c  1mq6  3myg
37   3zdg  1nvq  3f3e  4twp  4f3c  1mq6  3myg
38   3u8k  1nvq  3f3e  4twp  4f3c  1mq6  3myg
39   4qac  1nvq  3f3e  4twp  4f3c  1mq6  3myg
40   3u8n  1nvq  3qqs  2cet  4twp  4f3c  1mq6
41   1a30  1nvq  3f3e  4twp  4f3c  1mq6  3myg
42   2qnq  1nvq  3f3e  4twp  4f3c  1mq6  3myg
43   1g2k  1nvq  3f3e  4twp  4f3c  1mq6  3myg
44   1eby  1nvq  3f3e  4twp  4f3c  1mq6  3myg
45   3o9i  1nvq  3qqs  4twp  4f3c  1mq6  3myg
46   4lzs  1nvq  3f3e  4twp  4f3c  1mq6  3myg
47   3u5j  1nvq  3f3e  4twp  4f3c  1mq6  3myg
48   4wiv  1nvq  3f3e  4twp  4f3c  1mq6  3myg
49   4ogj  1nvq  3f3e  4twp  4f3c  1mq6  3myg
50   3p5o  1nvq  3qqs  4twp  4f3c  1mq6  3myg
51   1ps3  1nvq  3f3e  4twp  4f3c  1mq6  3myg
52   3dx1  1nvq  3f3e  4twp  4f3c  1mq6  3myg
53   3d4z  1nvq  3f3e  4twp  4f3c  1mq6  3myg
