     code  logKa          score
1    4llx   2.89  102613.581632
2    5c28   5.66  188380.638538
3    3uuo   7.96  241786.158552
4    3ui7   9.00  308074.136519
5    5c2h  11.09  379114.808596
6    2v00   3.66  267079.587069
7    3wz8   5.82  398727.129253
8    3pww   7.32  578888.770798
9    3prs   7.82  534432.468601
10   3uri   9.00  642775.310743
11   4m0z   5.19  423624.733873
12   4m0y   6.46  203842.747127
13   3qgy   7.80  351933.256182
14   4qd6   8.64  389272.117105
15   4rfm  10.05  359666.247762
16   4cr9   4.10  147435.149371
17   4cra   7.22  402549.350806
18   4x6p   8.30  460115.112895
19   4crc   8.72  457957.169205
20   4ty7   9.52  530326.468696
21   5aba   2.98  221886.359805
22   5a7b   3.57  297254.505021
23   4agn   3.97  239150.552394
24   4agp   4.69  308521.950087
25   4agq   5.01  276240.294148
26   3bgz   6.26  583019.002086
27   3jya   6.89  289035.415621
28   2c3i   7.60  343997.517210
29   4k18   8.96  493182.585335
30   5dwr  11.22  589456.230859
31   3mss   4.66  277789.681928
32   3k5v   6.30  404117.447768
33   3pyy   6.86  347439.834575
34   2v7a   8.30  351631.829491
35   4twp  10.00  390695.882434
36   3wtj   6.53  267709.258433
37   3zdg   7.10  169866.658169
38   3u8k   8.66  200433.925475
39   4qac   9.40  435325.253008
40   3u8n  10.17  240758.850304
41   1a30   4.30  539349.963825
42   2qnq   6.11  584918.434645
43   1g2k   7.96  581497.733128
44   1eby   9.70  595832.742900
45   3o9i  11.82  512494.465170
46   4lzs   4.80  165247.999977
47   3u5j   5.61  321613.523602
48   4wiv   6.26  407415.369068
49   4ogj   6.79  450523.484671
50   3p5o   7.30  384516.825674
51   1ps3   2.28  315484.761422
52   3dx1   3.58  407797.860409
53   3d4z   4.89  287269.561360
54   3dx2   6.82  434814.055120
55   3ejr   8.57  398162.826106
56   3l7b   2.40  278866.195637
57   4eky   3.52  414057.579593
58   3g2n   4.09  269491.000545
59   3syr   5.10  275651.579719
60   3ebp   5.91  266621.754911
61   2w66   4.05  140885.540203
62   2w4x   4.85  203067.890485
63   2wca   5.60  346400.128605
64   2xj7   6.66  158674.421638
65   2vvn   7.30  254446.589748
66   3aru   3.22  122574.849846
67   3arv   5.64  154437.100204
68   3ary   6.00   80896.170159
69   3arq   6.40  244646.109388
70   3arp   7.15  355183.494464
71   4ih5   4.11  249333.457730
72   4ih7   5.24  249279.741761
73   3cj4   6.51  303595.084338
74   4eo8   8.15  477169.421966
75   3gnw   9.10  452866.195195
76   1gpk   5.37  190155.169186
77   1h23   8.35  464429.845461
78   1h22   9.10  396364.177158
79   3f3a   4.19  337565.098518
80   3f3c   6.02  482748.816784
81   4mme   6.50  300012.572237
82   3f3d   7.16  463438.888018
83   3f3e   7.70  487289.392092
84   2wbg   4.45  428705.621340
85   2cbv   5.48  332055.858575
86   2j78   6.42  371664.509731
87   2j7h   7.19  272987.098972
88   2cet   8.02  379390.041536
89   3udh   2.85  167356.442085
90   3rsx   4.41  193682.278146
91   4djv   6.72  435286.863698
92   2vkm   8.74  602861.930222
93   4gid  10.77  652023.398330
94   4jfs   5.27  344681.612141
95   4j28   5.70  404746.165388
96   2wvt   6.12  450872.521384
97   2xii   7.20  588133.251058
98   4pcs   7.85  407558.089817
99   3rr4   4.55  258749.280917
100  1s38   5.15  290606.568150
101  1r5y   6.46  314680.358936
102  3gc5   7.26  408276.058928
103  3ge7   8.70  496098.221858
104  4dli   5.62  230288.444030
105  2zb1   6.32  393766.169003
106  4f9w   6.94  367555.789634
107  3e92   8.00  466917.656925
108  3e93   8.85  493161.454192
109  4owm   2.96  172304.176467
110  3twp   3.92  184432.361675
111  3r88   4.82  194771.327530
112  4gkm   5.17  362874.171727
113  3qqs   5.82  319834.187125
114  3gv9   2.12  177820.017901
115  3gr2   2.52  200465.762746
116  4kz6   3.10  241401.490564
117  4jxs   4.74  378565.054010
118  2r9w   5.10  428585.349672
119  2hb1   3.80  468579.085075
120  1bzc   4.92  525388.891358
121  2qbr   6.33  580534.645548
122  2qbq   7.44  628983.079328
123  2qbp   8.40  667400.610446
124  1q8t   4.76  146685.811973
125  1ydr   5.52  267190.873763
126  1q8u   5.96  270553.270404
127  1ydt   7.32  367445.256254
128  3ag9   8.05  776932.156469
129  3fcq   2.77  123070.826738
130  1z9g   5.64  403266.256419
131  1qf1   7.32  540638.055586
132  5tmn   8.04  490053.117164
133  4tmn  10.17  486170.060223
134  4ddk   2.29  167053.598680
135  4ddh   3.32  219223.439194
136  3ivg   4.30  403817.605035
137  3coz   5.57  516500.866030
138  3coy   6.02  530179.521070
139  3pxf   4.43  369808.374054
140  4eor   6.30  382185.471595
141  2xnb   6.83  237697.134184
142  1pxn   7.15  223073.383923
143  2fvd   8.52  374214.143451
144  4k77   6.63  135534.975553
145  4e5w   7.66  251967.523550
146  4ivb   8.72  261025.624208
147  4ivd   9.52  288402.404821
