     code  logKa     score
1    4llx   2.89  7.130033
2    5c28   5.66  7.303167
3    3uuo   7.96  7.196900
4    3ui7   9.00  7.241700
5    5c2h  11.09  7.374500
6    2v00   3.66  7.362400
7    3wz8   5.82  6.724167
8    3pww   7.32  7.009200
9    3prs   7.82  6.788700
10   3uri   9.00  6.836167
11   4m0z   5.19  6.924833
12   4m0y   6.46  7.211467
13   3qgy   7.80  7.108900
14   4qd6   8.64  6.726300
15   4rfm  10.05  7.043900
16   4cr9   4.10  7.186567
17   4cra   7.22  6.810533
18   4x6p   8.30  6.723100
19   4crc   8.72  6.980167
20   4ty7   9.52  6.872400
21   5aba   2.98  7.295967
22   5a7b   3.57  7.201433
23   4agn   3.97  7.179367
24   4agp   4.69  7.214367
25   4agq   5.01  7.182033
26   3bgz   6.26  6.949000
27   3jya   6.89  7.271700
28   2c3i   7.60  7.284000
29   4k18   8.96  7.075767
30   5dwr  11.22  7.071667
31   3mss   4.66  7.241067
32   3k5v   6.30  7.261367
33   3pyy   6.86  7.254767
34   2v7a   8.30  6.833600
35   4twp  10.00  6.905767
36   3wtj   6.53  6.997233
37   3zdg   7.10  7.065733
38   3u8k   8.66  6.964900
39   4qac   9.40  7.247300
40   3u8n  10.17  7.020533
41   1a30   4.30  6.539233
42   2qnq   6.11  7.034900
43   1g2k   7.96  6.727933
44   1eby   9.70  7.010667
45   3o9i  11.82  6.760433
46   4lzs   4.80  7.212600
47   3u5j   5.61  7.312133
48   4wiv   6.26  7.108067
49   4ogj   6.79  6.959300
50   3p5o   7.30  7.124733
51   1ps3   2.28  6.232067
52   3dx1   3.58  7.063967
53   3d4z   4.89  6.208233
54   3dx2   6.82  7.188333
55   3ejr   8.57  7.267233
56   3l7b   2.40  7.058500
57   4eky   3.52  6.749633
58   3g2n   4.09  7.174633
59   3syr   5.10  7.089900
60   3ebp   5.91  7.395633
61   2w66   4.05  7.095900
62   2w4x   4.85  7.102833
63   2wca   5.60  6.725033
64   2xj7   6.66  7.041967
65   2vvn   7.30  6.834900
66   3aru   3.22  7.384833
67   3arv   5.64  7.629867
68   3ary   6.00  7.210600
69   3arq   6.40  7.142067
70   3arp   7.15  7.099900
71   4ih5   4.11  7.079333
72   4ih7   5.24  7.222500
73   3cj4   6.51  6.966000
74   4eo8   8.15  7.045267
75   3gnw   9.10  7.120800
76   1gpk   5.37  7.083000
77   1h23   8.35  6.309167
78   1h22   9.10  6.306100
79   3f3a   4.19  7.022967
80   3f3c   6.02  7.087967
81   4mme   6.50  6.846067
82   3f3d   7.16  7.017700
83   3f3e   7.70  7.041367
84   2wbg   4.45  6.793700
85   2cbv   5.48  6.977300
86   2j78   6.42  7.130733
87   2j7h   7.19  6.648400
88   2cet   8.02  7.083833
89   3udh   2.85  7.396200
90   3rsx   4.41  7.238267
91   4djv   6.72  7.131000
92   2vkm   8.74  6.820733
93   4gid  10.77  6.745700
94   4jfs   5.27  7.023567
95   4j28   5.70  6.946833
96   2wvt   6.12  6.727100
97   2xii   7.20  6.775133
98   4pcs   7.85  6.923433
99   3rr4   4.55  7.346767
100  1s38   5.15  7.318867
101  1r5y   6.46  7.304167
102  3gc5   7.26  7.355967
103  3ge7   8.70  7.138100
104  4dli   5.62  7.089033
105  2zb1   6.32  7.250167
106  4f9w   6.94  7.380767
107  3e92   8.00  7.073900
108  3e93   8.85  6.970533
109  4owm   2.96  7.091367
110  3twp   3.92  7.095433
111  3r88   4.82  6.828867
112  4gkm   5.17  6.914233
113  3qqs   5.82  6.887600
114  3gv9   2.12  7.072433
115  3gr2   2.52  7.114433
116  4kz6   3.10  7.169167
117  4jxs   4.74  6.853700
118  2r9w   5.10  7.003733
119  2hb1   3.80  6.961933
120  1bzc   4.92  6.736733
121  2qbr   6.33  6.958400
122  2qbq   7.44  6.887067
123  2qbp   8.40  6.955367
124  1q8t   4.76  7.135800
125  1ydr   5.52  7.216733
126  1q8u   5.96  7.296433
127  1ydt   7.32  7.273533
128  3ag9   8.05  6.711033
129  3fcq   2.77  7.052500
130  1z9g   5.64  6.675367
131  1qf1   7.32  6.600833
132  5tmn   8.04  6.538700
133  4tmn  10.17  6.595400
134  4ddk   2.29  6.995800
135  4ddh   3.32  7.152767
136  3ivg   4.30  7.144700
137  3coz   5.57  7.198900
138  3coy   6.02  7.019400
139  3pxf   4.43  7.267233
140  4eor   6.30  6.838867
141  2xnb   6.83  7.057000
142  1pxn   7.15  7.084900
143  2fvd   8.52  6.862733
144  4k77   6.63  7.146900
145  4e5w   7.66  7.130933
146  4ivb   8.72  7.068133
147  4ivd   9.52  7.043933
148  4ivc  10.00  7.054100
149  4f09   6.70  7.424600
150  4gfm   7.22  7.261600
151  4hge   7.92  7.235067
152  4e6q   8.36  7.318033
153  4jia   9.22  6.924467
154  2brb   4.86  7.325767
155  2br1   5.14  7.343600
156  3jvr   5.72  7.186733
157  3jvs   6.54  7.018400
158  1nvq   8.25  7.213567
159  3acw   4.76  7.130833
160  4ea2   6.44  6.929800
161  2zcr   6.87  7.037533
162  2zy1   7.40  7.047167
163  2zcq   8.82  7.174667
164  1bcu   3.28  7.207933
165  3bv9   5.36  6.999567
166  1oyt   7.24  7.021200
167  2zda   8.40  7.023233
168  3utu  10.92  7.066933
169  3u9q   4.38  6.849467
170  2yfe   6.63  7.202933
171  3fur   8.00  7.215733
172  3b1m   8.48  7.050767
173  2p4y   9.00  7.327567
174  3uo4   6.52  6.914500
175  3up2   7.40  6.835900
176  3e5a   8.23  6.849300
177  2wtv   8.74  7.096733
178  3myg  10.70  7.379367
179  3kgp   2.57  7.287933
180  1c5z   4.01  7.265867
181  1o5b   5.77  7.222133
182  1owh   7.40  7.226867
183  1sqa   9.21  7.229433
184  4jsz   2.30  6.727633
185  3kwa   4.08  7.125467
186  2weg   6.50  7.207233
187  3ryj   7.80  7.184500
188  3dd0   9.00  7.338100
189  2xdl   3.10  7.137800
190  3b27   5.16  7.114800
191  1yc1   6.17  6.568933
192  3rlr   7.52  7.028033
193  2yki   9.46  6.944900
194  1z95   7.12  7.188767
195  3b68   8.40  6.974033
196  3b5r   8.77  6.958933
197  3b65   9.27  7.023400
198  3g0w   9.52  7.117100
199  4u4s   2.92  7.155467
200  1p1q   4.89  6.556367
201  1syi   5.44  6.634200
202  1p1n   6.80  6.715300
203  2al5   8.40  6.722667
204  3g2z   2.36  6.943133
205  3g31   2.89  6.946567
206  4de2   4.12  6.993133
207  4de3   5.52  7.036300
208  4de1   5.96  6.998500
209  1vso   4.72  6.652267
210  4dld   5.82  6.545267
211  3gbb   6.90  6.498867
212  3fv2   8.11  6.368100
213  3fv1   9.30  6.402533
214  4mgd   4.69  7.078067
215  2qe4   7.96  6.937767
216  1qkt   9.04  7.028600
217  2pog   9.54  7.040200
218  2p15  10.30  6.805033
219  2y5h   5.79  6.982833
220  1lpg   7.09  6.880367
