     code  logKa      score
1    4llx   2.89  14.482117
2    5c28   5.66  17.583763
3    3uuo   7.96  24.611915
4    3ui7   9.00  27.790052
5    5c2h  11.09  33.727116
6    2v00   3.66  22.177716
7    3wz8   5.82  36.876187
8    3pww   7.32  45.524817
9    3prs   7.82  42.369861
10   3uri   9.00  35.267675
11   4m0z   5.19  28.503840
12   4m0y   6.46  22.920229
13   3qgy   7.80  33.724980
14   4qd6   8.64  39.418675
15   4rfm  10.05  31.206291
16   4cr9   4.10  17.570043
17   4cra   7.22  36.268340
18   4x6p   8.30  37.783812
19   4crc   8.72  36.237962
20   4ty7   9.52  35.828530
21   5aba   2.98  24.952123
22   5a7b   3.57  35.624726
23   4agn   3.97  26.103828
24   4agp   4.69  34.052244
25   4agq   5.01  32.046901
26   3bgz   6.26  39.830580
27   3jya   6.89  22.614972
28   2c3i   7.60  31.270865
29   4k18   8.96  37.520920
30   5dwr  11.22  42.498390
31   3mss   4.66  26.050338
32   3k5v   6.30  33.793430
33   3pyy   6.86  31.091124
34   2v7a   8.30  31.807777
35   4twp  10.00  35.278078
36   3wtj   6.53  21.337407
37   3zdg   7.10  16.367464
38   3u8k   8.66  16.601847
39   4qac   9.40  39.801940
40   3u8n  10.17  18.399202
41   1a30   4.30  21.814652
42   2qnq   6.11  50.154024
43   1g2k   7.96  49.061750
44   1eby   9.70  47.786940
45   3o9i  11.82  41.470297
46   4lzs   4.80  16.840547
47   3u5j   5.61  29.450497
48   4wiv   6.26  34.991684
49   4ogj   6.79  38.914467
50   3p5o   7.30  31.054133
51   1ps3   2.28  14.137247
52   3dx1   3.58  16.639419
53   3d4z   4.89  13.513130
54   3dx2   6.82  19.960820
55   3ejr   8.57  27.086999
56   3l7b   2.40  16.468937
57   4eky   3.52  19.672802
58   3g2n   4.09  19.157308
59   3syr   5.10  15.228236
60   3ebp   5.91  28.677687
61   2w66   4.05  11.244338
62   2w4x   4.85  14.029359
63   2wca   5.60  25.298529
64   2xj7   6.66  14.428291
65   2vvn   7.30  14.537134
66   3aru   3.22  16.192437
67   3arv   5.64  30.936141
68   3ary   6.00  14.524594
69   3arq   6.40  23.093608
70   3arp   7.15  38.708941
71   4ih5   4.11  22.915352
72   4ih7   5.24  25.420593
73   3cj4   6.51  24.337239
74   4eo8   8.15  29.077183
75   3gnw   9.10  41.937818
76   1gpk   5.37  18.107290
77   1h23   8.35  35.982063
78   1h22   9.10  32.502944
79   3f3a   4.19  21.213176
80   3f3c   6.02  24.317179
81   4mme   6.50  28.044929
82   3f3d   7.16  20.276436
83   3f3e   7.70  20.592585
84   2wbg   4.45  25.782032
85   2cbv   5.48  15.750129
86   2j78   6.42  15.076507
87   2j7h   7.19  12.585712
88   2cet   8.02  21.516291
89   3udh   2.85  17.925360
90   3rsx   4.41  22.254733
91   4djv   6.72  39.809181
92   2vkm   8.74  49.361288
93   4gid  10.77  47.089053
