     code  logKa      score
1    4llx   2.89  14.800370
2    5c28   5.66   6.719132
3    3uuo   7.96   5.773962
4    3ui7   9.00   7.613293
5    5c2h  11.09   8.681961
6    2v00   3.66  10.614273
7    3wz8   5.82   9.912483
8    3pww   7.32   5.636812
9    3prs   7.82   7.442912
10   3uri   9.00   3.780460
11   4m0z   5.19   5.667598
12   4m0y   6.46   9.023882
13   3qgy   7.80   5.966699
14   4qd6   8.64   6.713348
15   4rfm  10.05   8.860436
16   4cr9   4.10   8.080956
17   4cra   7.22   6.788283
18   4x6p   8.30   7.044963
19   4crc   8.72   7.909091
20   4ty7   9.52   8.699440
21   5aba   2.98  14.182724
22   5a7b   3.57   7.628056
23   4agn   3.97   8.439838
24   4agp   4.69   8.064821
25   4agq   5.01   8.300203
26   3bgz   6.26   8.544828
27   3jya   6.89   4.671520
28   2c3i   7.60   7.571110
29   4k18   8.96   8.090791
30   5dwr  11.22   5.844718
31   3mss   4.66  10.740956
32   3k5v   6.30   9.700414
33   3pyy   6.86  10.982086
34   2v7a   8.30   6.577726
35   4twp  10.00   6.631151
36   3wtj   6.53   5.976028
37   3zdg   7.10  20.953302
38   3u8k   8.66  12.615754
39   4qac   9.40  11.942847
40   3u8n  10.17  10.772965
41   1a30   4.30   5.119905
42   2qnq   6.11  10.842667
43   1g2k   7.96   7.308897
44   1eby   9.70   9.367414
45   3o9i  11.82   6.687347
46   4lzs   4.80  11.265983
47   3u5j   5.61  11.231558
48   4wiv   6.26   7.052952
49   4ogj   6.79   8.798395
50   3p5o   7.30  11.331359
51   1ps3   2.28   0.462461
52   3dx1   3.58  12.402620
53   3d4z   4.89   0.746199
54   3dx2   6.82  27.354020
55   3ejr   8.57   7.561655
56   3l7b   2.40  22.471702
57   4eky   3.52   9.600643
58   3g2n   4.09  10.272281
59   3syr   5.10  14.379909
60   3ebp   5.91  10.163888
61   2w66   4.05  11.343169
62   2w4x   4.85  23.879956
63   2wca   5.60   6.214206
64   2xj7   6.66  20.238401
65   2vvn   7.30  20.898349
66   3aru   3.22  14.307712
67   3arv   5.64   9.449762
68   3ary   6.00  17.840756
69   3arq   6.40   7.062376
70   3arp   7.15   7.268854
71   4ih5   4.11   5.476764
72   4ih7   5.24   8.831698
73   3cj4   6.51   9.820692
74   4eo8   8.15  12.931804
75   3gnw   9.10   9.267030
76   1gpk   5.37   9.017911
77   1h23   8.35   7.187308
78   1h22   9.10   6.904363
79   3f3a   4.19   6.277920
80   3f3c   6.02   5.826177
81   4mme   6.50   5.331331
82   3f3d   7.16   9.502787
83   3f3e   7.70   6.729424
84   2wbg   4.45   6.481826
85   2cbv   5.48  14.932054
86   2j78   6.42  14.702197
87   2j7h   7.19   1.558319
88   2cet   8.02   7.285325
89   3udh   2.85  11.160017
90   3rsx   4.41   9.290774
91   4djv   6.72  11.181087
92   2vkm   8.74   6.302254
93   4gid  10.77   6.733032
94   4jfs   5.27   3.239727
95   4j28   5.70   6.974031
96   2wvt   6.12   6.541029
97   2xii   7.20   7.257379
98   4pcs   7.85   3.361400
99   3rr4   4.55   8.286222
100  1s38   5.15   6.336469
101  1r5y   6.46  11.628508
102  3gc5   7.26   5.888487
103  3ge7   8.70   3.094342
104  4dli   5.62   7.456371
105  2zb1   6.32   9.681529
106  4f9w   6.94  12.016183
107  3e92   8.00  10.174170
108  3e93   8.85  10.569107
109  4owm   2.96   6.601793
110  3twp   3.92   7.387150
111  3r88   4.82   5.881441
112  4gkm   5.17  12.821868
113  3qqs   5.82  11.133545
114  3gv9   2.12   6.481750
115  3gr2   2.52  13.363512
116  4kz6   3.10  12.250456
117  4jxs   4.74   7.859959
118  2r9w   5.10   9.432714
119  2hb1   3.80  14.234148
120  1bzc   4.92   6.911150
121  2qbr   6.33  11.953963
122  2qbq   7.44  11.550220
123  2qbp   8.40  12.254002
124  1q8t   4.76   8.911838
125  1ydr   5.52   4.965111
126  1q8u   5.96   5.535435
127  1ydt   7.32   6.299290
128  3ag9   8.05   3.883316
129  3fcq   2.77  13.010361
130  1z9g   5.64   6.822749
131  1qf1   7.32   6.730648
132  5tmn   8.04   6.493627
133  4tmn  10.17   6.284517
134  4ddk   2.29  12.581450
135  4ddh   3.32  12.488494
136  3ivg   4.30  11.795539
137  3coz   5.57  12.334569
138  3coy   6.02   4.363754
139  3pxf   4.43  10.927906
140  4eor   6.30   6.879665
141  2xnb   6.83   6.491669
142  1pxn   7.15   9.780444
143  2fvd   8.52   9.254336
144  4k77   6.63   5.706030
145  4e5w   7.66   3.439388
146  4ivb   8.72  10.002523
147  4ivd   9.52   9.943967
148  4ivc  10.00   6.986785
149  4f09   6.70   6.294613
150  4gfm   7.22   9.852784
151  4hge   7.92   9.324611
152  4e6q   8.36  10.792865
153  4jia   9.22   6.208282
154  2brb   4.86   8.443833
155  2br1   5.14   7.740916
156  3jvr   5.72   8.475362
157  3jvs   6.54   7.689653
158  1nvq   8.25   6.600725
159  3acw   4.76  10.384271
160  4ea2   6.44   5.170989
161  2zcr   6.87   8.654546
162  2zy1   7.40   7.289360
163  2zcq   8.82  11.900148
164  1bcu   3.28  11.440454
165  3bv9   5.36  11.325339
166  1oyt   7.24   2.841799
167  2zda   8.40   5.335408
168  3utu  10.92   6.328468
169  3u9q   4.38  12.161512
170  2yfe   6.63   6.818869
171  3fur   8.00   8.744991
172  3b1m   8.48   6.992379
173  2p4y   9.00   8.905906
174  3uo4   6.52   6.904793
175  3up2   7.40   6.456161
176  3e5a   8.23   6.688871
177  2wtv   8.74   7.826088
178  3myg  10.70   5.899420
179  3kgp   2.57  10.781004
180  1c5z   4.01  10.576874
181  1o5b   5.77  10.974391
182  1owh   7.40   4.907642
183  1sqa   9.21   4.139369
184  4jsz   2.30   2.014393
185  3kwa   4.08  17.918747
186  2weg   6.50   6.548905
187  3ryj   7.80   5.675137
188  3dd0   9.00   6.086313
189  2xdl   3.10  15.840478
190  3b27   5.16   7.668289
191  1yc1   6.17   9.682080
192  3rlr   7.52  10.628010
193  2yki   9.46   7.803231
194  1z95   7.12   7.971900
195  3b68   8.40   7.517334
196  3b5r   8.77   5.923631
197  3b65   9.27  10.718692
198  3g0w   9.52   7.554750
199  4u4s   2.92  12.497175
200  1p1q   4.89   6.881918
201  1syi   5.44   6.907998
202  1p1n   6.80   8.762624
203  2al5   8.40   6.908391
204  3g2z   2.36  16.114027
205  3g31   2.89  12.033742
206  4de2   4.12   9.153633
207  4de3   5.52   9.337822
208  4de1   5.96  12.693507
209  1vso   4.72   6.685723
210  4dld   5.82   7.959479
211  3gbb   6.90   7.527914
212  3fv2   8.11   7.351005
213  3fv1   9.30   5.080461
214  4mgd   4.69   6.130535
215  2qe4   7.96   6.347444
216  1qkt   9.04   5.221540
217  2pog   9.54   6.613391
218  2p15  10.30   6.352715
219  2y5h   5.79   7.842018
220  1lpg   7.09  11.688505
221  2xbv   8.43   7.856097
222  1z6e   9.72   7.158284
223  1mq6  11.15   5.901518
224  1nc3   5.00   9.217606
225  1nc1   6.12   6.095116
226  1y6r  10.11   8.821609
227  4f2w  11.30   2.529819
228  4f3c  11.82   2.520209
229  1uto   2.27  15.191626
230  4abg   3.57  11.247901
231  3gy4   5.10  10.359133
232  1k1i   6.58   6.634360
233  1o3f   7.96   7.765649
234  2yge   5.06   7.522876
235  2fxs   6.06   6.677102
236  2iwx   6.68   9.944482
237  2wer   7.05   6.652766
238  2vw5   8.52   6.691974
239  4kzq   6.10   6.783098
240  4kzu   6.50   7.422320
241  4j21   7.41   7.536879
242  4j3l   7.80   5.424822
243  3kr8   8.10   6.552866
244  2ymd   3.16   8.239557
245  2wnc   6.32   9.773525
246  2xys   7.42  11.637018
247  2wn9   8.52   6.807751
248  2x00  11.33  15.337498
249  3ozt   4.13   9.168007
250  3ozs   5.33   5.651934
251  3oe5   6.88   9.214439
252  3oe4   7.47   6.828222
253  3nw9   9.00   7.660247
254  3ao4   2.07   7.493366
255  3zt2   2.84   7.277614
256  3zsx   3.28   7.426172
257  4cig   3.67   7.320301
258  3zso   5.12   7.641763
259  3n7a   3.70   6.962218
260  4ciw   4.82   6.791429
261  3n86   5.64   6.288794
262  3n76   6.85   6.278486
263  2xb8   7.59   5.981286
264  4bkt   3.62  15.187478
265  4w9c   4.65   9.320912
266  4w9l   5.02   8.326516
267  4w9i   5.96   8.299724
268  4w9h   6.73   5.522712
269  3nq9   4.03  12.172395
270  3ueu   5.24  12.557853
271  3uev   5.89  12.544797
272  3uew   6.31  12.177581
273  3uex   6.92  12.162636
274  3lka   2.82   9.356340
275  3ehy   5.85  12.636593
276  3tsk   7.17   6.360963
277  3nx7   8.10   6.372371
278  4gr0   9.55  10.508689
279  3dxg   2.40  20.897108
280  3d6q   3.76   8.612291
281  1w4o   5.22  20.492582
282  1o0h   5.92  15.938684
283  1u1b   7.80   7.033440

Summary of the scoring power: ===================================
The regression equation: logKa = -0.17 + 7.98 * Score
Number of favorable sample (N) = 283
Pearson correlation coefficient (R) = -0.292
Standard deviation in fitting (SD) = 2.08
=================================================================

Template command for running the bootstrap in R program==========

rm(list=ls());
require(boot);
data_all<-read.table("X-Score_processed_score",header=TRUE);
aa<-c(1:nrow(data_all));

mycore<-function(x,indices)
{
data_1<-matrix(NA,283,2);
for(i in 1:283);
    {
        data_1[i,1]=data_all[x[indices][i],2];
        data_1[i,2]=data_all[x[indices][i],3];
    }
        data_2<-data.frame(data_1);
        names(data_2)<-c("a","b");
        cor(data_2$a,data_2$b);
};

data.boot<-boot(aa,mycore,R=10000,stype="i",sim="ordinary");
sink("X-Score-ci.results");
a<-boot.ci(data.boot,conf=0.9,type=c("bca"));
print(a);
sink();

=================================================================
