     code  logKa         score
1    4llx   2.89  7.934684e+05
2    5c28   5.66  1.240228e+06
3    3uuo   7.96  1.646366e+06
4    3ui7   9.00  1.995188e+06
5    5c2h  11.09  2.363226e+06
6    2v00   3.66  9.085855e+05
7    3wz8   5.82  1.928255e+06
8    3pww   7.32  2.489518e+06
9    3prs   7.82  2.188179e+06
10   3uri   9.00  2.045693e+06
11   4m0z   5.19  2.213641e+06
12   4m0y   6.46  8.857157e+05
13   3qgy   7.80  1.999264e+06
14   4qd6   8.64  1.943319e+06
15   4rfm  10.05  1.713110e+06
16   4cr9   4.10  6.337279e+05
17   4cra   7.22  1.497627e+06
18   4x6p   8.30  1.636517e+06
19   4crc   8.72  1.584957e+06
20   4ty7   9.52  1.602483e+06
21   5aba   2.98  8.441613e+05
22   5a7b   3.57  1.483042e+06
23   4agn   3.97  9.593939e+05
24   4agp   4.69  1.360070e+06
25   4agq   5.01  1.231320e+06
26   3bgz   6.26  3.114175e+06
27   3jya   6.89  1.517405e+06
28   2c3i   7.60  2.444034e+06
29   4k18   8.96  2.406595e+06
30   5dwr  11.22  2.949106e+06
31   3mss   4.66  2.020092e+06
32   3k5v   6.30  2.387958e+06
33   3pyy   6.86  2.121564e+06
34   2v7a   8.30  1.244236e+06
35   4twp  10.00  2.526608e+06
36   3wtj   6.53  1.574035e+06
37   3zdg   7.10  1.184361e+06
38   3u8k   8.66  9.508661e+05
39   4qac   9.40  3.608167e+06
40   3u8n  10.17  1.200893e+06
41   1a30   4.30  1.166339e+06
42   2qnq   6.11  2.999281e+06
43   1g2k   7.96  2.921148e+06
44   1eby   9.70  3.079294e+06
45   3o9i  11.82  2.349859e+06
46   4lzs   4.80  9.379877e+05
47   3u5j   5.61  1.831455e+06
48   4wiv   6.26  2.307152e+06
49   4ogj   6.79  2.125210e+06
50   3p5o   7.30  1.920783e+06
51   1ps3   2.28  3.146803e+05
52   3dx1   3.58  5.957207e+05
53   3d4z   4.89  2.884608e+05
54   3dx2   6.82  1.033087e+06
55   3ejr   8.57  1.204507e+06
56   3l7b   2.40  4.346076e+05
57   4eky   3.52  7.437051e+05
58   3g2n   4.09  5.943616e+05
59   3syr   5.10  3.740417e+05
60   3ebp   5.91  1.861532e+06
61   2w66   4.05  3.009071e+05
62   2w4x   4.85  5.010981e+05
63   2wca   5.60  1.287436e+06
64   2xj7   6.66  5.740923e+05
65   2vvn   7.30  5.923164e+05
66   3aru   3.22  6.254683e+05
67   3arv   5.64  1.680135e+06
68   3ary   6.00  5.549716e+05
69   3arq   6.40  8.928098e+05
70   3arp   7.15  2.837947e+06
71   4ih5   4.11  1.388502e+06
72   4ih7   5.24  1.536484e+06
73   3cj4   6.51  1.792998e+06
74   4eo8   8.15  2.068379e+06
75   3gnw   9.10  2.304090e+06
76   1gpk   5.37  9.833386e+05
77   1h23   8.35  2.780057e+06
78   1h22   9.10  2.389058e+06
79   3f3a   4.19  1.284103e+06
80   3f3c   6.02  1.511304e+06
81   4mme   6.50  1.936767e+06
82   3f3d   7.16  1.259633e+06
83   3f3e   7.70  1.382819e+06
84   2wbg   4.45  1.475342e+06
85   2cbv   5.48  5.984901e+05
86   2j78   6.42  4.714042e+05
87   2j7h   7.19  2.769011e+05
88   2cet   8.02  9.581658e+05
89   3udh   2.85  1.017895e+06
90   3rsx   4.41  1.024201e+06
91   4djv   6.72  2.201779e+06
92   2vkm   8.74  2.699805e+06
93   4gid  10.77  2.625100e+06
94   4jfs   5.27  1.166984e+06
95   4j28   5.70  9.431539e+05
96   2wvt   6.12  4.568848e+05
97   2xii   7.20  1.289247e+06
98   4pcs   7.85  1.317277e+06
99   3rr4   4.55  8.953245e+05
100  1s38   5.15  1.179881e+06
101  1r5y   6.46  9.370785e+05
102  3gc5   7.26  1.147406e+06
103  3ge7   8.70  1.571808e+06
104  4dli   5.62  1.869763e+06
105  2zb1   6.32  2.553230e+06
106  4f9w   6.94  2.411269e+06
107  3e92   8.00  2.889349e+06
108  3e93   8.85  2.881607e+06
109  4owm   2.96  7.622905e+05
110  3twp   3.92  6.431764e+05
111  3r88   4.82  6.917523e+05
112  4gkm   5.17  1.501395e+06
113  3qqs   5.82  1.369434e+06
114  3gv9   2.12  3.821049e+05
115  3gr2   2.52  4.294604e+05
116  4kz6   3.10  6.985770e+05
117  4jxs   4.74  9.723269e+05
118  2r9w   5.10  1.484576e+06
119  2hb1   3.80  1.146942e+06
120  1bzc   4.92  2.196797e+06
121  2qbr   6.33  1.970635e+06
122  2qbq   7.44  1.976875e+06
123  2qbp   8.40  2.155984e+06
124  1q8t   4.76  7.304535e+05
125  1ydr   5.52  1.589980e+06
126  1q8u   5.96  1.702486e+06
127  1ydt   7.32  1.885170e+06
128  3ag9   8.05  1.561581e+06
129  3fcq   2.77  7.706106e+05
130  1z9g   5.64  1.273069e+06
131  1qf1   7.32  1.962575e+06
132  5tmn   8.04  1.996064e+06
133  4tmn  10.17  2.024128e+06
134  4ddk   2.29  8.321638e+05
135  4ddh   3.32  8.050206e+05
136  3ivg   4.30  1.847117e+06
137  3coz   5.57  1.145679e+06
138  3coy   6.02  1.160329e+06
139  3pxf   4.43  2.095151e+06
140  4eor   6.30  1.766453e+06
141  2xnb   6.83  1.371603e+06
142  1pxn   7.15  1.233795e+06
143  2fvd   8.52  1.880868e+06
144  4k77   6.63  7.192322e+05
145  4e5w   7.66  1.090321e+06
146  4ivb   8.72  1.053953e+06
147  4ivd   9.52  1.192550e+06
148  4ivc  10.00  1.139029e+06
149  4f09   6.70  9.290737e+05
150  4gfm   7.22  8.145029e+05
151  4hge   7.92  8.711306e+05
152  4e6q   8.36  1.140706e+06
153  4jia   9.22  2.186863e+06
154  2brb   4.86  1.707698e+06
155  2br1   5.14  1.639098e+06
156  3jvr   5.72  1.457685e+06
157  3jvs   6.54  1.501165e+06
158  1nvq   8.25  2.067690e+06
159  3acw   4.76  2.852839e+06
160  4ea2   6.44  2.417854e+06
161  2zcr   6.87  3.202920e+06
162  2zy1   7.40  2.185287e+06
163  2zcq   8.82  2.251722e+06
164  1bcu   3.28  4.900131e+05
165  3bv9   5.36  1.668313e+06
166  1oyt   7.24  1.800561e+06
167  2zda   8.40  1.811094e+06
168  3utu  10.92  2.222719e+06
169  3u9q   4.38  1.999053e+06
170  2yfe   6.63  2.571161e+06
171  3fur   8.00  3.340997e+06
172  3b1m   8.48  3.213512e+06
173  2p4y   9.00  4.032057e+06
174  3uo4   6.52  2.182740e+06
175  3up2   7.40  2.247436e+06
176  3e5a   8.23  2.134672e+06
177  2wtv   8.74  2.500055e+06
178  3myg  10.70  1.060309e+06
179  3kgp   2.57  5.122064e+05
180  1c5z   4.01  6.271438e+05
181  1o5b   5.77  6.904897e+05
182  1owh   7.40  9.116107e+05
183  1sqa   9.21  1.104866e+06
184  4jsz   2.30 -1.394182e+05
185  3kwa   4.08  7.213493e+05
186  2weg   6.50  1.006986e+06
187  3ryj   7.80  1.290657e+06
188  3dd0   9.00  8.614646e+05
189  2xdl   3.10  6.812316e+05
190  3b27   5.16  1.355562e+06
191  1yc1   6.17  1.092486e+06
192  3rlr   7.52  1.816469e+06
193  2yki   9.46  3.326072e+06
194  1z95   7.12  3.680244e+06
195  3b68   8.40  3.335911e+06
196  3b5r   8.77  3.980738e+06
197  3b65   9.27  3.337372e+06
198  3g0w   9.52  3.143729e+06
199  4u4s   2.92  3.289444e+05
200  1p1q   4.89  8.207252e+05
201  1syi   5.44  7.857387e+05
202  1p1n   6.80  8.182410e+05
203  2al5   8.40  7.781627e+05
204  3g2z   2.36  2.282771e+05
205  3g31   2.89  7.116746e+05
206  4de2   4.12  4.491959e+05
207  4de3   5.52  4.246805e+05
208  4de1   5.96  3.750515e+05
209  1vso   4.72  1.056053e+06
210  4dld   5.82  1.390239e+06
211  3gbb   6.90  1.061312e+06
212  3fv2   8.11  9.608717e+05
213  3fv1   9.30  9.625971e+05
214  4mgd   4.69  2.617590e+06
215  2qe4   7.96  2.544451e+06
216  1qkt   9.04  2.476003e+06
217  2pog   9.54  2.861429e+06
218  2p15  10.30  4.980678e+06
219  2y5h   5.79  7.628981e+05
220  1lpg   7.09  2.036369e+06
221  2xbv   8.43  2.026148e+06
222  1z6e   9.72  1.543823e+06
223  1mq6  11.15  1.838093e+06
224  1nc3   5.00  4.601293e+05
225  1nc1   6.12  1.847350e+06
226  1y6r  10.11  1.512140e+06
227  4f2w  11.30  1.815662e+06
228  4f3c  11.82  2.533424e+06
229  1uto   2.27  3.573968e+05
230  4abg   3.57  4.735366e+05
231  3gy4   5.10  6.277598e+05
232  1k1i   6.58  9.675863e+05
233  1o3f   7.96  1.269815e+06
234  2yge   5.06  7.983561e+05
235  2fxs   6.06  7.134672e+05
236  2iwx   6.68  8.618792e+05
237  2wer   7.05  9.734062e+05
238  2vw5   8.52  1.336660e+06
239  4kzq   6.10  1.717194e+06
240  4kzu   6.50  2.042658e+06
241  4j21   7.41  1.837665e+06
242  4j3l   7.80  2.112307e+06
